,Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
237,7100,7100,632813,685192,22-20 Blues,Skip James,1968,The Soul of a Man,2003,,22-20 Blues,skip james,1
260,7685,7685,116318,725451,I Hate Men,Cole Porter,1949,Winning Your Wings,1942,,I Get a Kick Out of You,cole porter,0
318,9337,9337,27221,320745,Turn The Heat Up,Phil Perry / Lee Ritenour / Eric R. Tagg / Paulinho Costa / Phil Perry / Eric Tagg / Larry Williams,0,WordGirl,2007,Becky and the Chocolate Factory/Chucks Brother (#2.12),Whats Up Its WordGirl,sharon lee williams,0
355,10485,10485,216901,219588,Where Has All This Mess Begun,The Black Box Revelation,2010,Sons of Anarchy,2008,Family Recipe (#4.8),Where Has All This Mess Begun,the black box revelation,1
248,7332,7332,242923,600398,If You Want To Get To Heaven,The Ozark Mountain Daredevils,1994,Run Ronnie Run,2002,,If You Wanna Get to Heaven,steve cash+john dillon+the ozark mountain daredevils,1
342,10097,10097,372252,53643,Carmen Suite: Intermezzo,Georges Bizet,1993,Curb Your Enthusiasm,2000,The Table Read (#7.9),Carmen - Suite No.1 - Aragonaise,georges bizet,0
19,850,850,872553,677853,Cello Concerto No. 2 in D Major_ Hob. VIIb/2: III. Allegro,Bamberg Symphony Orchestra,0,The People vs. George Lucas,2010,,Symphony No.3 in E flat major Eroica  Op.55,moscow symphony orchestra in the great hall of the moscow conservatory,0
269,7979,7979,681192,241095,Closer (Further Away),Nine Inch Nails,1994,The Comix Scrutinizer,2012,The Nine Lives of Fritz the Cat (#3.1),Closer,trent reznor+nine inch nails,1
226,6815,6815,776720,394543,El Micr͵fono,Mexican Institute of Sound,2007,Coach,2010,,El Microfono,camilo lara+holger beier+mexican institute of sound,1
340,10043,10043,144775,657724,Symphony No. 1: Allegretto Con Grazia,Royal Scottish National Orchestra,0,The Education of Charlie Banks,2007,,Nocturne  Op. 27  No. 2,frͩdͩric chopin+the royal philharmonic orchestra,0
3,241,241,682167,384500,Children Of The Future,Steve Miller Band,1968,Captain Milkshake,1970,,Children of the Future,steve miller+the steve miller band,1
309,9185,9185,589785,357806,Pay To Cum,Bad Brains,1980,Bad Brains Live at CBGB OMFUG 1982,2006,,Pay to Cum,bad brains,1
125,3872,3872,177085,120288,Brown Sugar,The Rolling Stones,1971,Independent Lens,1999,Muscle Shoals (#15.17),Brown Sugar,mick jagger+keith richards+the rolling stones,1
280,8468,8468,167569,207908,Winter,Joshua Radin,2004,Shameless,2011,Fiona Interrupted (#2.12),Winter,joshua radin,1
286,8827,8827,555070,75090,Ballet Suite From The Nutcracker Op. 71a: Dance Of The Sugar Plum Fairy,London Festival Orchestra,0,Downton Abbey,2010,(#3.5),Downton Abbey - The Suite,john lunn+the chamber orchestra of london,0
77,2783,2783,912980,367933,Body And Soul,The Benny Goodman Sextet,0,Bill W.,2012,,Body & Soul,benny goodman,1
184,5744,5744,659980,637784,Blue Angel,Roy Orbison,1961,Syrj�_hyppyj�_,1996,,Blue Angel,roy orbison,1
354,10422,10422,597203,364116,The Host Of Seraphim,Dead Can Dance,1988,Bekushiru: 2077 Nihon sakoku,2007,,The Host of Seraphim,lisa gerrard+brendan perry+dead can dance,1
419,12641,12641,911163,605022,Symphony No. 8: Tempo di menuetto,Bernard Haitink_ London Symphony Orchestra,0,Savages,2012,,Brahms: Symphony No. 1 in C Minor  Op. 68,johannes brahms+london symphony orchestra,0
275,8393,8393,568632,728921,Iguazu,Gustavo A. Santaolalla,1999,Yes,2004,,Iguazu,gustavo santaolalla,1
294,8979,8979,81840,485681,Symphony No. 4 in F minor Op. 36 (2007 Digital Remaster): IV. Allegro con fuoco,Royal Philharmonic Orchestra/Sir Thomas Beecham,0,Interlude,1968,,Excerpts From Beethoven Symphony No. 5 - Finale,ludwig van beethoven+the royal philharmonic orchestra  conducted by ernest fleischmann,0
383,11170,11170,813177,173850,I Don't Want To Be,Gavin DeGraw,2003,One Tree Hill,2003,The Living Years (#1.11),I Dont Want to Be,gavin degraw,1
182,5609,5609,394224,177620,Love Is A Dirty Word,Jason Collett,2010,Parenthood,2010,Amazing Andy and His Wonderful World of Bugs (#2.16),Love Is A Dirty Word,jason collett,1
394,11604,11604,281769,345752,Mozart: Le Nozze di Figaro: Eccovi_ o caro amico_ il dolce frutto... Dove sono i bei momenti,Wolfgang Amadeus Mozart,0,Amadeus,1984,,Don Giovanni  K527: Act I  La Ci Darem La Mano,wolfgang amadeus mozart,0
80,2887,2887,301342,585299,Step On (Twisting My Melon Mix),Happy Mondays,2007,Pure Oasis,1996,,Step On,happy mondays,1
307,9157,9157,730682,44409,Waltz Of The Flowers From  Nutcracker,Pyotr Il'yich Tchaikovsky,0,Charlies Angels,1976,Mother Goose Is Running for His Life (#2.20),The Nutcracker: Dance of the Sugar Plum Fairy,pyotr ilyich tchaikovsky,0
258,7643,7643,314493,485304,Gett Off,Prince & The New Power Generation [with Eric Leeds on Flute],1991,Innocent Blood,1992,,Gett Off,prince+the new power generation+arrangement with warner special products,1
11,634,634,462355,630433,O Mio Babbino Caro from Gianni Schicchi,Kiri Te Kanawa;John Pritchard;The London Philharmonic Orchestra,0,Stiff Upper Lips,1998,,O mio babbino caro,giacomo puccini+the brt philharmonic orchestra,1
331,9794,9794,234370,617311,Concerto For Saxophone (Quartet Version): Melody 7,Philip Glass,0,Six by Sondheim,2013,,String Quartet No.3 (Mishima): Blood Bath,philip glass,0
86,2952,2952,628572,395230,Theme from The Magnificent Seven,Elmer Bernstein,0,Cold Turkey,1971,,Theme from The Magnificent Seven,elmer bernstein,1
266,7967,7967,432836,174964,Este Loco Que Te Mira,Marc Anthony,2001,Operaci�_n triunfo,2001,(#2.3),Te tenqo aqu�_,marc anthony,0
36,1306,1306,240489,681253,Louie Louie,Richard Berry,0,The Return of Sherlock Holmes,1987,,Louie  Louie,richard berry,1
422,12843,12843,800316,38883,Love Won't Let Me,Jason Michael Carroll,2007,CMT Top 20 Countdown,2001,(2007-11-01),Livin Our Love Song,jason michael carroll,0
58,2202,2202,654650,268010,Cats In The Cradle,Harry Chapin,2010,The Simpsons,1989,Labor Pains (#25.5),Cats in the Cradle,harry chapin+sandy chapin,1
41,1544,1544,652056,575223,Left To My Own Devices (Live At The Mermaid Theatre),Pet Shop Boys,0,Pet Shop Boys: A Life in Pop,2006,,Left to my own devices,neil tennant+chris lowe+pet shop boys,1
270,8042,8042,650355,88273,It Wasn't God Who Made Honky Tonk Angels,Dolly Parton,2003,Fern Britton Meets...,2009,Dolly Parton (#1.1),Hello God,dolly parton,0
50,1805,1805,899940,613507,My Prayer Rug (w/ JB & JE),Odd Nosdam,0,Shout Gladi Gladi,2015,,My Prayer Rug,odd nosdam,1
209,6396,6396,539971,730259,The Hustle,Van McCoy & The Soul City Symphony,1975,Youre Dead...,1999,,The Hustle,van mccoy,1
352,10280,10280,634576,231352,Centerpiece (Live At Ronnie Scott's),Van Morrison,0,TFI Friday,1996,(#1.6),Moondance (Live),van morrison,0
351,10241,10241,548758,251413,2. Trope: 'I Don't Know,Leonard Bernstein,0,The Late Late Lien Show,1979,(#2.1),I Feel Pretty,leonard bernstein,0
367,10699,10699,58410,340947,Sleeping Beauty - Ballet Op. 66 (1993 Digital Remaster)_ ACT III:  'The Wedding'_ 25.  Pas de quatre (Adagio): iii.     Variation II:  The Bluebird and Princess Florine (Andantino),London Symphony Orchestra/Andrͩ Previn,0,Afternoon of a Faun: Tanaquil Le Clercq,2013,,The Nutcracker  Op. 71a  Pas de Deux  Dance of the Prince and the Sugar-Plum Fairy,london symphony orchestra  / charles mackerras,0
123,3850,3850,578269,286790,Clubbed To Death [Kurayamino Variation],Rob Dougan,0,The X Factor,2004,Auditions 4 (#3.4),Clubbed to Death,rob dougan,1
222,6657,6657,715222,518496,Three Little Birds,Bob Marley & The Wailers,2007,Life and Debt,2001,,Three Little Birds,bob marley,1
62,2294,2294,623145,604592,Maybe I'm Amazed,Paul McCartney,1970,Saturday Night Live: 40th Anniversary Special,2015,,Maybe Im Amazed,paul mccartney,1
378,11006,11006,900933,10581,How Am I Supposed To Live Without You,Michael Bolton,1989,American Crime Story,2016,The Dream Team (#1.3),Said I Loved You...But I Lied,michael bolton,0
130,4038,4038,400896,654637,Missing,Bruce Springsteen,1996,The Crossing Guard,1995,,Missing,bruce springsteen,1
187,5840,5840,512713,435773,Woodpecker From Mars,Faith No More,1989,Faith No More: Live at the Brixton Academy,1990,,Woodpecker From Mars,faith no more,1
23,969,969,646522,627089,Run Around,Blues Traveler,1997,Spun,2002,,Run Around,blues traveler,1
43,1645,1645,880887,301989,I Can Dream About You,Dan Hartman,1984,Top of the Pops,1964,(1985-08-22),I Can Dream About You,dan hartman,1
0,172,172,740031,487873,Richter Scale Madness,...And You Will Know Us By The Trail Of Dead,1998,Its All Gone Pete Tong,2004,,Ritcher Scale Madness,and you will known us by the trail of dead,1
201,6186,6186,817934,513768,You Remind Me Of Gold,The Human League,1982,Le nouveau,2015,,Dont You Want Me,the human league.,0
376,10944,10944,770055,673414,The Hippy Hippy Shake,The Swinging Blue Jeans,1979,The Men Who Stare at Goats,2009,,Hippy Hippy Shake,chan romero+the swinging blue jeans,1
98,3155,3155,932741,388965,Turn The Beat Around,Vicki Sue Robinson,1976,Chasing Amy,1997,,My Stomp  My Beat,gerard mcmahon+vicki sue robinson,0
304,9144,9144,907856,321437,Fear Of A Black Planet,Public Enemy,1990,World Championship Snooker,1973,2016: Day 9  Part 2 (#44.49),Supermans Black in the Building,public enemy,0
428,12995,12995,318738,173686,Shadows Cast A Lie,James William Hindle,2003,One Tree Hill,2003,Spirit in the Night (#1.17),Shadow Casts A Lie,james william hindle,1
178,5526,5526,730682,427439,Waltz Of The Flowers From  Nutcracker,Pyotr Il'yich Tchaikovsky,0,El lince perdido,2008,,Waltz de El Lago de los Cisnes,pyotr ilyich tchaikovsky,1
256,7588,7588,565881,257423,No Anesthetic for Love,The Nat King Cole Trio,0,The Nat King Cole Show,1954,(#1.13),This Cant Be Love,richard rodgers+nat king cole,0
94,3074,3074,845499,516705,La Course du li��vre �_ travers les champs,Francis Lai,1996,Les trois glorieuses,2010,,Les ͩtoles du cinͩma,francis lai,0
408,12203,12203,194566,544728,I Never Let You Cross My Mind,Marty Robbins,0,Moonfire,1970,,Get You Off My Mind,marty robbins,0
95,3098,3098,474764,190043,Nervos De A�_o (1994 Digital Remaster),Paulinho Da Viola,0,Queridos Amigos,2008,(#1.1),Nervos de A�_o,lupic�_nio rodrigues+paulinho da viola,1
389,11335,11335,289902,77039,Scared,Tiago Iorc,2008,Duas Caras,2007,,Scared,tiago iorc,1
169,5273,5273,798089,596629,Love Theme,The Boston Pops Orchestra / John Williams,0,Robot Chicken: Star Wars Episode III,2010,,The Imperial March (Darth Vaders Theme),john williams,0
69,2469,2469,699989,304944,New Orleans (Album Version),Willy DeVille,2009,Treme,2010,Meet De Boys on the Battlefront (#1.2),New Orleans,willy deville,1
305,9145,9145,293965,321437,Superman's Black In The Building,Public Enemy,2005,World Championship Snooker,1973,2016: Day 9  Part 2 (#44.49),Supermans Black in the Building,public enemy,1
48,1736,1736,873042,558678,Your English is Good,Tokyo Police Club,2007,Nobody,2009,,Your English Is Good,josh hook+graham wright+greg alsop+dave monks+tokyo police club,1
341,10050,10050,906274,657724,Piano Sonato No. 2 in B-Flat Minor_ Op. 35: Funeral March,London Philharmonic Orchestra,0,The Education of Charlie Banks,2007,,Nocturne  Op. 27  No. 2,frͩdͩric chopin+the royal philharmonic orchestra,0
207,6347,6347,57287,424843,Last Tango (Theme From Last Tango In Paris),Gato Barbieri,2002,Eat Pray Love,2010,,Last Tango in Paris Score,gato barbieri,1
279,8467,8467,928096,143330,Morfina,Mundo Cͣo,2006,Lua Vermelha,2010,(#1.197),Morfina,mundo cͣo,1
227,6819,6819,408823,101003,Right Where They Left,White Rabbits,2009,Gossip Girl,2007,The Debarted (#3.12),Right Where They Left,white rabbits,1
148,4749,4749,372252,111022,Carmen Suite: Intermezzo,Georges Bizet,1993,Histeria!,1998,The Wheel of History (#1.17),Carmen - March of the Toreadors,georges bizet,0
143,4435,4435,658428,66790,Um Caso Raro,P�_lo Norte,0,Deixa-me Amar,2007,(#1.33),Um caso raro,p�_lo norte,1
334,9832,9832,336006,669153,Mr. Blue (Remastered Album Version),Michael Franks,2004,The Last Innocent Man,1987,,Mr. Blue,michael franks,1
180,5551,5551,379037,214026,Rocket Man (I Think It's Going To Be A Long_ Long Time),Elton John,1976,Skeppsholmen,2002,(#1.6),Come Down in Time,elton john,0
131,4089,4089,839072,159151,The Entertainer,Scott Joplin,1971,Movie Guide,2013,Movie Guide: Part 5 (#1.5),The Entertainer,scott joplin,1
395,11692,11692,815775,265996,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,The Romeo Section,2015,Five Spies (#1.5),Prelude No. 5 in D-major,johann sebastian bach,0
439,13374,13374,632544,483136,Suspended From Class,Camera Obscura,0,Imagine Me & You,2005,,Suspended from Class,camera obscura,1
262,7878,7878,175859,215835,100% Pure Love,Crystal Waters,1994,So You Think You Can Dance Canada,2008,Top 12 (#1.13),100% Pure Love,crystal waters,1
324,9661,9661,753265,721927,Trio C-Moll f�_r Flauto Traverso Violine_ Violoncello und Cembalo aus dem 'Musikalischen Opfer' BWV 1,Johann Sebastian Bach,0,When Will I Be Loved,2004,,Praeambulum in C Major  BWV 924,johann sebastian bach+glenn gould+arrangement with sony music licensing,0
203,6220,6220,344072,391393,The Nutcracker Op.71-atto 2 - Chinese Dance,Pyotr Il'yich Tchaikovsky,0,Christmas Around Atlanta,2012,,Chinese Dance,pyotr ilyich tchaikovsky,1
84,2931,2931,251001,498064,Thank You (Precious Memories Album Version),Ray Boltz,0,Karla Faye Tucker: Forevermore,2004,,Thank You,ray boltz,1
121,3846,3846,905861,542578,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,Mission: Impossible III,2006,,String Quartet in C Minor  Op. 18 No. 4,ludwig van beethoven+kodaly quartet+arrangement with source/q,0
382,11165,11165,141079,536168,All I Think About Is You,Harry Nilsson,1995,Me Myself and I,1992,,ME MYSELF AND I,harry nilsson,0
405,12036,12036,121504,557264,Capital G,Nine Inch Nails,2007,Nine Inch Nails and the Industrial Uprising,2009,,Capital G,trent reznor+nine inch nails,1
91,3034,3034,96347,733174,Wildlife Analysis,Boards of Canada,1996,i,2004,,Wildlife Analysis,boards of canada,1
82,2922,2922,818718,206447,Me Perfuma,Los Autͩnticos Decadentes,1991,SesioneS con Alejandro Franco,2007,Los Autͩnticos Decadentes,Me tiro a la basura,los autͩnticos decadentes,0
267,7971,7971,911940,338828,Rock And Roll (Bonus Track),Bertice Reading,0,Absolute Beginners,1986,,Rock Baby Rock,bertice reading,0
119,3826,3826,347954,227527,The Imperial March,The Boston Pops Orchestra / John Williams,0,Studio C,2012,(#6.10),The Imperial March (Darth Vaders Theme),john williams,1
358,10569,10569,634226,199731,Rainy Day,10000 Maniacs,1997,Sabrina  the Teenage Witch,1996,A River of Candy Corn Runs Through It (#2.7),Rainy Day,10+000 maniacs,1
291,8913,8913,252200,442498,4-Minute Warning (Album Version),John Paul Jones,0,For All Mankind,1989,,4-Minute Warning,john paul jones,1
57,2195,2195,408463,173286,Hold You In My Arms,Ray LaMontagne,2004,One Tree Hill,2003,Lifetime Piling Up (#2.20),Hold You In My Arms,ray lamontagne,1
321,9451,9451,328174,97298,Feelgood By Numbers,The Go! Team,2003,Girls,2012,Beach House (#3.7),Feelgood By Numbers,the go! team,1
257,7622,7622,260081,649512,You Baby,The Lovin' Spoonful,1965,The Big T.N.T. Show,1966,,Do You Believe In Magic?,john sebastian+the lovin spoonful,0
393,11592,11592,722722,127393,Redemption Day,Sheryl Crow,1996,Katie,2012,Bens Bucket List/Jessye Norman (#2.147),This Day,sheryl crow,0
42,1568,1568,730682,428638,Waltz Of The Flowers From  Nutcracker,Pyotr Il'yich Tchaikovsky,0,Elf,2003,,The Nutcracker Suite  Op.71a,pyotr ilyich tchaikovsky+the brian setzer orchestra,0
105,3452,3452,702210,149364,Love Is All Around (The Mary Tyler Moor Show Theme),Sonny Curtis,0,Mary Tyler Moore,1970,Christmas and the Hard-Luck Kid II (#1.14),Love Is All Around,sonny curtis,1
407,12120,12120,711721,393401,Pie Jesu From 'Requiem,Sarah Brightman,0,Classics: The Best of Sarah Brightman,2002,,Pie Jesu,sarah brightman,1
273,8284,8284,809980,710797,Life On Mars? (Live At The Manhattan Center_ New York),David Bowie,2009,VIII Premis Gaud�_ de lAcad��mia del Cinema Catal�_,2016,,Life on Mars,david bowie,1
391,11434,11434,745006,605412,This Land Is Your Land,Woody Guthrie & Jack Elliott,1986,Saving the World in Seven Days,2010,,This Land is Your Land,woody guthrie,1
38,1339,1339,187047,520093,Living For The City,Stevie Wonder,1973,Little Girl Blue,1974,,Living for the City,stevie wonder,1
53,2090,2090,776463,139021,Stop The Cavalry,Jona Lewie,1980,Lindenstraͻe,1985,Heute kommt der Weihnachtsmann (#1.786),Stop the Cavalry,jona lewie,1
384,11205,11205,211148,700156,Ant Rap,Adam & The Ants,1981,Top of the Pops: The Story of 1980,2015,,Ant Music,adam ant+marco pirroni+adam+the ants,1
128,3900,3900,317521,294583,The Ride Of The Valkyries_ Op.wwv86b : Overture,Richard Wagner,0,Tiny Toon Adventures,1990,Brave Tales of Real Rabbits (#1.59),Lohengrin - Overture to the 3rd Act,richard wagner,0
290,8889,8889,782716,166512,No One Knows About A Good Thing (You Don't Have To Cry) (Album Version),Curtis Mayfield,1996,New York Undercover,1994,The Unthinkable (#3.20),No One Knows About a Good Thing (You Dont Have to Cry),curtis mayfield,1
28,1095,1095,368537,185294,Ghostbusters,Ray Parker Jr,1984,Pop Up Video,1997,Movie Magic 1: Movie Theme Songs (#2.59),Ghostbusters,ray parker jr.,1
183,5736,5736,699839,1815,I'm Too Sexy 2007 (Tastemakers Radio Mix),Right Said Fred,2007,20 to 1,2005,Sporty  Rich & Sexy (#9.4),Im Too Sexy,right said fred+richard fairbrass+fred fairbrass+rob manzoli,1
370,10841,10841,689186,236027,In The Dark (24-Bit Digitally Remastered 02),Billy Squier,2005,The Americans,2013,Covert War (#1.11),In the Dark,billy squier,1
163,5180,5180,784182,733512,El Rey Del Glam,Alaska Y Dinarama,1988,������A tope!!!,1984,,Rey del Glam,carlos garc�_a berlanga+nacho canut+a. d�_az+alaska y dinarama,1
151,4884,4884,659419,257411,Those Lazy_ Hazy_ Crazy Days Of Summer (1990 Digital Remaster),Nat King Cole,1994,The Nat King Cole Show,1954,(#1.10),Crazy Rhythm,joseph meyer+roger wolfe kahn+nat king cole,0
244,7204,7204,890680,555486,Chitlins Con Carne (Alternate Take) (1985 Digital Remaster),Kenny Burrell,0,New York Beat Movie,1981,,Chitlins Con Carne,kenny burrell,1
202,6216,6216,379327,381611,That Is The Way To Make A Broken Heart,Willy DeVille,0,CBGB,2013,,One Way Street,willy deville+mink deville,0
31,1151,1151,845516,152813,Te Quiero Tanto_ Tanto,Onda Vaselina,1998,Mi pequeͱa traviesa,1997,,Te Quiero Tanto Tanto,guillermo mͩndez gui�_+la onda vaselina,1
32,1154,1154,453218,67333,Saia Indiscreta,Filarm�_nica Gil,0,Deixa-me Amar,2007,(#1.82),Saia indiscreta,filarm�_nica gil,1
127,3888,3888,130033,477142,Swan Lake_ Op. 20: Danse espagnole,Pyotr Ilyich Tchaikovsky_ Vasily Petrenko_ Pyotr Ilyich Tchaikovsky_ Vasily Petrenko_ Royal Liverpool Philharmonic Orchestra,0,Huhtikuu on kuukausista julmin,1983,,Symphonie no. 6 h-Moll Pathͩtique / Sinfonia nro 6 h-molli Pateettinen sinfonia op. 74,pyotr ilyich tchaikovsky,0
185,5767,5767,507032,469457,I Do Not Want This,Nine Inch Nails,1994,Hey There,2011,,2 Ghost I,trent reznor+atticus ross+nine inch nails,0
412,12371,12371,733218,673754,Opus No.One,Mills Brothers,0,The Mills Brothers on Parade,1956,,Opus One,sy oliver+lyrics by sid garris+the mills brothers,1
288,8854,8854,163194,75090,Suite from Born on the Fourth of July/I.  Theme from Born on the Fourth of July,John Williams;The Boston Pops Orchestra,0,Downton Abbey,2010,(#3.5),Downton Abbey - The Suite,john lunn+the chamber orchestra of london,0
398,11718,11718,157744,370987,It's Gonna Be A Long Night,Gerry Rafferty,1979,Blood Ties,2013,,The Long Way Round,gerry rafferty,0
401,11848,11848,307853,485688,Symphony No. 4 in F minor Op. 36 (2003 Digital Remaster): IV.     Allegro con fuoco,Royal Philharmonic Orchestra/Sir Thomas Beecham,0,Interlude,1968,,Excerpts From Rachmaninoff Symphony No. 2 - 3rd Movement,sergei rachmaninoff+the royal philharmonic orchestra  conducted by ernest fleischmann,0
147,4653,4653,235066,242935,Don't Worry,Marty Robbins,1961,The Drifter,1965,The Saloon,Dont Worry,marty robbins,1
285,8751,8751,705069,249740,All I Really Want To Do,Bob Dylan,1964,The Johnny Cash Show,1969,(#1.1),I Threw It All Away,bob dylan,0
409,12243,12243,790947,612556,Ich Ruf Zu Dir_ Herr Jesu Christ,Johann Sebastian Bach,0,Shin seiki Evangelion Gekij͉-ban: Air/Magokoro wo  kimi ni,1997,,Jesu  Bleibet Meine Freude,johann sebastian bach,0
177,5493,5493,700034,215648,Ronnie Biggs Interviews Steve & Paul 1978 - Live,Sex Pistols,0,So It Goes,1976,(#1.10),Anarchy in the U.K. (Live),the sex pistols,0
99,3165,3165,674293,129533,Will You Dance?,Janis Ian,2004,Kishibe no arubamu,1977,,Will You Dance?,janis ian,1
338,10025,10025,336201,657724,Piano Concerto No. 3 In C Major_ Op. 26: 2. Theme And Variations,Leif Ove Andsnes & Bergen Philharmonic Orchestra,0,The Education of Charlie Banks,2007,,Nocturne  Op. 27  No. 2,frͩdͩric chopin+the royal philharmonic orchestra,0
335,9948,9948,928096,144512,Morfina,Mundo Cͣo,2006,Lua Vermelha,2010,(#1.60),Morfina,mundo cͣo,1
197,6083,6083,361886,205094,Dark 'N' Lovely,Stevie Wonder,0,Scrubs,2001,My Friend with Money (#6.5),Isnt She Lovely,and performed by stevie wonder,0
243,7171,7171,449022,498940,Goodbye Old Paint,Arthur Russell,2008,Keep the Lights On,2012,,Goodbye Old Paint,arthur russell,1
115,3688,3688,764342,231926,Alice's Theme,Danny Elfman,2010,Tales from the Crypt,1989,Till Death Do We Part (#5.13),Tales from the Crypt Theme,danny elfman,0
404,11973,11973,566626,245523,Theme 1 (BBC Black Session),Van Der Graaf Generator,0,The Fresh Beat Band,2009,Glow for It (#1.15),The Fresh Beat Band Theme,scott kraft+nadine van der velde+the fresh beat band,0
265,7931,7931,372252,678530,Carmen Suite: Intermezzo,Georges Bizet,1993,The Pink Panther,2006,,Carmen - Prelude to Act I,georges bizet,1
72,2684,2684,572509,462939,Cathedral Wedding Song,Richard Wagner / Otto Sieben,0,Hana,2003,,Wedding March,richard wagner,1
333,9830,9830,902591,95095,Colourful Life,Cajun Dance Party,2006,Gavin & Stacey,2007,(#3.5),Colourful Life,daniel blumberg+robert stern+cajun dance party,1
25,1024,1024,216250,503610,Have You Ever Seen The Rain?,John Fogerty,0,Kong Curling,2011,,Have you ever seen the rain,john fogerty,1
165,5210,5210,807416,702620,Canta_ Canta_ Canta,Josͩ Alfredo Jimenez Con Acompaͱamiento Del Mariachi Vargas De Tecalitlan,0,Tres palomas alborotadas,1963,,Canta  Canta  Canta,josͩ alfredo jimͩnez+elvira quintana+mar�_a duval+lucha villa,1
337,10022,10022,842212,657724,Symphony No. 6 in C major_ D589: First movement: Adagio - Allegretto,Sir Thomas Beecham/Royal Philharmonic Orchestra,0,The Education of Charlie Banks,2007,,Nocturne  Op. 27  No. 2,frͩdͩric chopin+the royal philharmonic orchestra,0
425,12899,12899,747670,78977,The Power Of Love,Frankie Goes To Hollywood,1984,EastEnders,1985,(2008-07-28),The Power of Love,frankie goes to hollywood,1
174,5393,5393,169555,583687,Suite Ana Magdalena,Johann Sebastian Bach,0,Professor Norman Cornett,2009,,1re Suite pour violoncelle-Prelude,johann sebastian bach+matt haimovitz,0
427,12954,12954,276573,628405,Here They Come! from Star Wars,John Williams,0,Star Wars: Revelations,2005,,Star Wars Main Theme,john williams,1
39,1436,1436,632964,167566,Y ahora voy a salir (Ranxeira),Mago de Oz,2007,No disparen al pianista,2007,(#1.7),Y ahora voy a salir,mago de oz,1
193,5992,5992,212965,235354,Men In Black,Frank Black,1994,The Adam and Joe Show,1996,(#1.1),Men in Black,frank black,1
314,9288,9288,658855,97484,Free,Cat Power,2003,Girls,2012,She Said OK (#3.3),Free,cat power,0
396,11693,11693,173252,265996,Symphony No. 1 In B-Flat Major_ Op 9,Johann Sebastian Bach,0,The Romeo Section,2015,Five Spies (#1.5),Prelude No. 5 in D-major,johann sebastian bach,0
88,2970,2970,814634,597131,I Wish I Could Shimmy Like My Sister Kate,Preservation Hall Jazz Band,0,Rock and Roll Hall of Fame Live: Feelin Alright,2009,,I Cant Turn You Loose,otis redding+little richard+mick jagger+the rock hall jam band,0
70,2645,2645,247188,447629,Mass in B Minor BWV 232: Gratias Agimus,Johann Sebastian Bach,0,Fur: An Imaginary Portrait of Diane Arbus,2006,,Sonata in E Minor,johann sebastian bach,0
87,2957,2957,399025,168843,Can You Hear Me,Keaton Simons,2008,Novel Adventures,2008,The Fab Four (#1.2),Can You Hear Me,keaton simons,1
292,8919,8919,98916,175439,One More Time With Feeling (Album Version),Regina Spektor,2009,Orange Is the New Black,2013,Take a Break from Your Values (#2.11),Youve Got Time,regina spektor,0
242,7166,7166,54120,229916,Crazy Circles,Bad Company,1979,Supernatural,2005,Fresh Blood (#3.7),Crazy Circles,bad company,1
277,8448,8448,216111,254171,Lord_ Give Me Just A Little More Time,Marty Stuart And His Fabulous Superlatives,0,The Marty Stuart Show,2008,The Oak Ridge Boys (#1.23),Just a Little Talk with Jesus,cleavant derricks+the oak ridge boys+marty stuart+the fabulous superlatives,0
211,6438,6438,6682,107215,My Baby Left Me,Elvis Presley,1956,Hawaii Five-0,2010,Kupale (#2.17),Rock-a-Hula Baby,ben weisman+fred wise+dolores fuller .+elvis presley .,0
9,579,579,53553,239195,I'm Sorry But I'm Beginning To Hate Your Face,Eagle Seagull,2007,The Blacklist,2013,Milton Bobbit (No. 135) (#1.18),Im Sorry  But Im Beginning To Hate Your Face,eagle seagull,1
359,10621,10621,905861,518271,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,Life 101,1995,,Moonlight Sonats,ludwig van beethoven+carl schurtz,1
195,6051,6051,484280,216986,What You Waiting For?,Gwen Stefani,2004,So You Think You Can Dance,2005,Top 10 Results (#2.17),What You Waiting For?,gwen stefani,1
251,7350,7350,388699,152309,Under The Sheets,Ellie Goulding,2009,Mencaps Little Noise Sessions,2009,(2009-12-08),Under The Sheets,ellie goulding,1
323,9636,9636,477448,553205,Groove Me,King Floyd,1971,National Lampoon: Drunk Stoned Brilliant Dead,2015,,Groove Me,king floyd,1
192,5949,5949,88751,314270,I've Been Loving You Too Long [Live Europe Version],Otis Redding,1967,WKRP in Cincinnati,1978,A Simple Little Wedding (#3.19),I Cant Turn You Loose,otis redding,0
117,3781,3781,218449,5000,Dominos,The Big Pink,2009,90210,2008,Let the Games Begin (#4.4),Dominos,the big pink,1
47,1731,1731,778322,361608,Soul Makossa,Manu Dibango,1972,Battle of the Year,2013,,Soul Makossa,manu dibango,1
