,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
486,486,212898,105569,You Just Cheat And Lie,Z Z Hill,0,Halal in the Family,2015,Bully (#1.3),Just An Ordinary Family,matthew loren cohen miles kahn dave hill ken gold lillian lasalle,
487,487,213947,41195,El Mono Relojero,Kapanga,1998,Campeones de la vida,1999,(#1.2),El mono relojero,kapanga,
488,488,214124,452442,All The Time,Tom Waits,2006,GirlHouse,2014,,The First Time,tom hajdu tomandandy,
489,489,214698,220108,A Tu Casa,Los Toreros Muertos,1989,Sos mi vida,2006,CapÃƒÅ’_tulo 147 (#1.147),Tu forma de ser,los autenticos decadentes,
490,490,214786,136373,Kingdom Of Rust (Acoustic Version),Doves,2009,Later... With Jools Holland,1992,(#34.2),Kingdom Of Rust,doves,
491,491,214839,302743,Earth Song,Michael Jackson,1995,Top of the Pops,1964,(1996-01-04),Earth Song,michael jackson,
492,492,215274,552613,Like A Star (Live At Webster Hall),Corinne Bailey Rae,2007,Nancy Drew,2007,,Like A Star,corinne bailey rae,
493,493,215284,14227,Jingle Bells (Album Version),Boney James,0,Animaniacs,1993,Hooray for North Hollywood: Part 2 (#5.6),Jingle Bells,james pierpont,
494,494,215284,24585,Jingle Bells (Album Version),Boney James,0,Baywatch,1989,Silent Night  Baywatch Night: Part 2 (#5.12),Jingle Bells,james pierpont,
495,495,215284,45708,Jingle Bells (Album Version),Boney James,0,Chuck,2007,Chuck Versus the Crown Vic (#1.11),Jingle Bells,james pierpont,
496,496,215284,85490,Jingle Bells (Album Version),Boney James,0,Everybody Loves Raymond,1996,Christmas Present (#5.11),Jingle Bells,james pierpont,
497,497,215284,86000,Jingle Bells (Album Version),Boney James,0,Everybody Loves Raymond,1996,The Thought That Counts (#7.11),Jingle Bells,dieter reith james pierpont,
498,498,215284,147660,Jingle Bells (Album Version),Boney James,0,Make Room for Daddy,1953,Christmas and Clowns (#4.13),Jingle Bells,james pierpont danny thomas sherry jackson rusty hamer,
499,499,215284,271573,Jingle Bells (Album Version),Boney James,0,The Tennessee Ernie Ford Show,1956,Howard McNear (#4.9),Jingle Bells,james pierpont tennessee ernie ford the top twenty,
500,500,215284,318168,Jingle Bells (Album Version),Boney James,0,Wheel of Fortune,1983,Happy Holidays 5 (#27.75),Jingle Bells,james pierpont,
501,501,215284,592097,Jingle Bells (Album Version),Boney James,0,Remember the Night,1940,,Jingle Bells,james pierpont,
502,502,215284,627784,Jingle Bells (Album Version),Boney James,0,Stalag 17,1953,,Jingle Bells,james pierpont,
503,503,215284,671208,Jingle Bells (Album Version),Boney James,0,The Long Kiss Goodnight,1996,,Jingle Bells,james pierpont jingle dogs,
504,504,215284,694536,Jingle Bells (Album Version),Boney James,0,This Christmas,2007,,Jingle Bells (Girlfight Version),james pierpont,
505,505,215989,556568,New York 19,John Lewis & Svend Asmussen,0,Night of 100 Stars,1982,,New York  New York,john kander fred ebb liza minnelli,
506,506,215989,573329,New York 19,John Lewis & Svend Asmussen,0,Pavarotti & Friends for War Child,1996,,New York  New York,john kander fred ebb liza minnelli luciano pavarotti,
507,507,216391,256519,I Call Him Holy,VIP Mass Choir featuring John P. Kee,0,The Monkees,1966,The Monkees in Paris (#2.22),Dont Call On Me,michael nesmith john london the monkees,
508,508,217758,367393,Hands On The Bible,Local H,2002,Big Nothing,2006,,Hands on the Bible,scott lucas local h,
509,509,218239,715721,Come Here,True Blood,0,WWE 2k15,2014,,Come On Over,royal blood,
510,510,218421,124069,Somebody Loves Me,Coleman Hawkins,1997,Jazz Party,1958,(#1.20),Somebody Loves Me,buddy g. desylva ballard macdonald george gershwin henry red allen dicky wells buster bailey coleman hawkins,
511,511,218682,375360,Alcohol,Brad Paisley,2005,Brad Paisley: The Video Collection,2006,,Alcohol,brad paisley,
512,512,219189,342630,Auld Lang Syne,Billy Vaughn Orchestra,2004,Alfie,2004,,Auld Lang Syne,the louis vause orchestra,
513,513,221289,353296,Pure Imagination,Monty Alexander,0,Art School Confidential,2006,,Pure Imagination,anthony newley leslie bricusse monty alexander,
514,514,221915,585679,Clouds (Remix Album Version),Chaka Khan,0,Put the Needle on the Record,2004,,Clouds,chaka khan,
515,515,222260,597064,I Never Had A Sweetheart,Connie Francis,1993,Rock Rock Rock!,1956,,I Never Had A Sweetheart,connie francis,
516,516,222725,613361,Sweet Road,Animal Collective,2004,Shortbus,2006,,Sweet Road,animal collective david portner noah lennox,
517,517,222763,301066,Talk Of The Town (Album Version),The Pretenders,1981,Top of the Pops,1964,(1980-04-17),Talk of the Town,the pretenders,
518,518,223309,199453,Walking On Sunshine,Katrina and the Waves feat. Soweto Gospel Choir,1985,S.P.U.N.G,2002,Ensam ÃƒÅ’_r stark (#2.17),Walking on Sunshine,kimberley rew katrina the waves,
519,519,223423,418936,Why Do Lovers Break Each Others Hearts,Bob B Soxx & The Blue Jeans,1991,Dont Ever Tell,2016,,Why,blue folkus singers,
520,520,224966,39120,The Climb,Miley Cyrus,2009,CMT Top 20 Countdown,2001,(2009-03-20),The Climb,miley cyrus,
521,521,225612,300915,Escape (The Pina Colada Song),Rupert Holmes,1979,Top of the Pops,1964,(1980-01-31),Escape (The Pina Colada Song),rupert holmes,
522,522,226726,11244,Home World,Winifred Phillips,2009,American Idol: The Search for a Superstar,2002,(#12.1),Home,phillip phillips,
523,523,226728,362679,My Country Under God,Michael Martin Murphey,0,Beauty Is Embarrassing,2012,,Country Boy In Paradise,p. michael quinn vocals ukelele ; brian kotzur drums; roy agee banjo trombone; paul lÃƒÅ’_ehaus electric guitar; michael doster upright bass; tony crow  . piano jaw harp; mark nevers engineer,
524,524,227527,622243,Outside,George Michael,1998,Somewhere Over the Rainbow,2014,,Outside,george michael,
525,525,227719,619048,Saturday Night,Jane Jensen,0,Slither,2006,,Saturday Night,jane jensen,
526,526,227780,192510,This time it's goodbye,Perry Blake,1999,Rap Critic Reviews,2010,Time of Our Lives by Pitbull Feat. Ne-Yo (#6.9),This Is How We Do,katy perry,
527,527,227780,582384,This time it's goodbye,Perry Blake,1999,Presque rien,2000,,This Time Its Goodbye,perry blake graham murphy,
528,528,227819,301842,Tom Sawyer,Rush,0,Top of the Pops,1964,(1981-11-05),Tom Sawyer,rush,
529,529,228420,239422,Walking On A Dream (Ben Watt Remix),Empire Of The Sun,2009,The Block,2003,The Key Challenge (#4.5),Walking On A Dream,empire of the sun jonathon sloan luke steele nick littlemore,
530,530,228594,118057,From This Moment On (2009 Digital Remaster),Frank Sinatra,0,Idols!,2002,Wildcards (#2.12),This Is the Moment,frank wildhorn leslie bricusse frank de graaf,
531,531,228594,212966,From This Moment On (2009 Digital Remaster),Frank Sinatra,0,Singapore Idol,2004,Spectacular Show 8 - Film Hits (#1.21),This Is the Moment,frank wildhorn leslie bricusse taufik batisah,
532,532,229307,204590,Have Yourself A Merry Little Christmas (LP Version),Yolanda Adams,0,Scream Queens,2015,Pilot (#1.1),Have You Ever Really Loved a Woman? (uncredited),bryan adams robert john lange michael kamen,
533,533,229315,242140,All Day And All Of The Night,Ray Davies,0,The Dinah Shore Chevy Show,1956,(#1.8),Lucky Day,lew brown buddy g. desylva ray henderson dinah shore,
534,534,229315,552922,All Day And All Of The Night,Ray Davies,0,Narco,2004,,All Day and All of the Night,ray davies the kinks,
535,535,229335,236837,The Ballad Of The Brave Pink Knight,The Backyardigans,2006,The Backyardigans,2004,Knights Are Brave and Strong (#1.9),The Ballad of the Brave Pink Knight (Hey Uniqua),the backyardigans,
536,536,229359,726174,Farewell Party,Alan Jackson,1999,Witness,1985,,PARTY DOWN,alan brackett scott shelly,
537,537,229656,283625,Sweet Dreams My LA Ex,Rachel Stevens,2003,The Voice,2012,The Blind Auditions  Part 6 (#1.6),Sweet Dreams,beyoncÃƒÅ’Ã‚Â© knowles prinnie stevens,
538,538,229656,480176,Sweet Dreams My LA Ex,Rachel Stevens,2003,I Wonder Whos Kissing Her Now,1947,,Be Sweet to Me Kid,joseph e. howard martha stewart mark stevens,
539,539,229666,675259,End Title (Remastered LP Version) (Awakenings - Original Motion Picture Soundtrack),Randy Newman,0,The Natural,1984,,The End Title,randy newman,
540,540,231113,699472,Banned In DC,Bad Brains,1991,Tony Hawks Proving Ground,2007,,Banned in DC,bad brains paul h.r. hudson gary dr. know miller darryl jenifer,
541,541,231517,133307,Quiero Tener La Sombra De Tu Cuerpo,Victor Manuel,1974,La tele de tu vida,2007,(#1.26),Quiero abrazarte tanto,vÃƒÅ’_ctor manuel,
542,542,231819,118538,Deep Black Mystery,Norman Howard,0,Idols,2002,Top 5: Seasons and Colours (#4.23),Black Velvet,david tyson christopher ward andriette norman,
543,543,231819,672831,Deep Black Mystery,Norman Howard,0,The Man with the Iron Fists,2012,,Black Widow March (Auroras Theme),atli ÃƒÅ’ÃƒÂêrvarsson rza howard drossin hilda ÃƒÅ’ÃƒÂêrvarsdÃƒÅ’_ttir,
544,544,233094,475751,Only The Lonely (Know The Way I Feel),Roy Orbison,1961,House of Boys,2009,,Only the Lonely (Know the Way I Feel),roy orbison joe melson courtesy of orbison records,
545,545,233310,407634,Small Change  (LP Version),Tom Waits,0,Dead End Drive-In,1986,,Small Brave Land,tom harran neville dowling the expression,
546,546,234283,147751,St. Louis Blues,W.C. Handy,0,Make Room for Daddy,1953,Linda  the Performer (#8.8),Saint Louis Blues,w.c. handy judy birr,
547,547,234283,588600,St. Louis Blues,W.C. Handy,0,Rain,1932,,St. Louis Blues,w.c. handy,
548,548,234455,35927,Last Song,Andrea Centazzo,0,Britains Got More Talent,2007,(#9.2),Orvilles Song,bobby crush andrea,
549,549,235435,215771,St. Andrew (This Battle Is In The Air),The White Stripes,2007,So You Think You Can Dance Canada,2008,Top 10 (#2.16),St. James Infirmary Blues,the white stripes,
550,550,235577,566411,The Old Home,The Stanley Brothers,1996,One in a Million,1936,,Old Folks at Home (Swanee River),stephen foster the ritz brothers  during their first comedy routine,
551,551,235743,486237,Jack The Ripper (Live),Morrissey,1994,Introducing Morrissey,1996,,Jack the Ripper,morrissey boz boorer,
552,552,236525,19310,Burn,Usher,2004,Australian Idol,2003,Top 30 Group 2 Performance Show (#2.9),Burn,usher raymond jermaine dupri bryan michael cox adrian hood,
553,553,237028,418568,Bizet: Carmen: Je vais danser en votre honneur,Georges Bizet,0,Domingo/Troyanos Met Gala Concert,1982,,Carmen: Act III PrÃƒÅ’Ã‚Â©lude,georges bizet,
554,554,237028,503761,Bizet: Carmen: Je vais danser en votre honneur,Georges Bizet,0,Kotia pÃƒÅ’_in,1989,,Votre toast  je peux vous le rendre,georges bizet tiit kuusik,
555,555,237028,641275,Bizet: Carmen: Je vais danser en votre honneur,Georges Bizet,0,Tempo,1996,,Carmen: March of the Toreadors,georges bizet,
556,556,238641,302787,Got My Mind Set On You (2004 Digital Remaster),George Harrison,1987,Top of the Pops,1964,(1996-02-15),I Got 5 on It,tone capone claydes smith dennis d.t. thomas denzil foster donald boyce numskull george funky brown jay king yukmouth richard westfield robert kool bell robert spike mickens ronald bell thomas mcelroy luniz,
557,557,238641,477549,Got My Mind Set On You (2004 Digital Remaster),George Harrison,1987,Humphs Last Stand,2008,,I Got Rhythm,george gershwin humphrey lyttelton ted beament jo fooks jimmy hastings,
558,558,238641,543727,Got My Mind Set On You (2004 Digital Remaster),George Harrison,1987,Mona Lisa Smile,2003,,Ive Got a Crush on You,george gershwin ira gershwin seal,
559,559,238641,693069,Got My Mind Set On You (2004 Digital Remaster),George Harrison,1987,Their Own Desire,1929,,Shes Got the Boy Friend Blues,reggie montgomery george ward a group at the resort,
560,560,238871,226350,Have A Little Faith,David Houston,0,Stars in Their Eyes,1990,Live Grand Final 1997 (#8.13),We Have All the Time in the World,hal david john barry gwyn allen,
561,561,238871,709039,Have A Little Faith,David Houston,0,Une chanson dans la tÃƒÅ’Ã‚Â»te,2008,,Where have you been all my life ?,hal david john cacavas,
562,562,239048,173018,Never Let Down,Andrew W.K.,2003,One Tree Hill,2003,Hundred (#5.12),Never Tear Us Apart,andrew farriss michael hutchence inxs,
563,563,239048,552927,Never Let Down,Andrew W.K.,2003,Narco,2004,,Never Let Down,andrew w.k.,
564,564,239230,369817,Blood Is Pumping,Voodoo & Serano,2001,Blade II,2002,,Blood is Pumping (Cold Blood),c.j. stone reinhard raith voodoo serano,
565,565,240288,125057,Wonderful World,James Morrison,0,Joolss Hootenanny,1993,Jools 14th Annual Hootenanny,Wonderful World,james morrison,
566,566,241105,218586,Papagaio Do Futuro,Alceu ValenÃŒÂ_a,1974,Som Brasil,2007,Alceu ValenÃƒÅ’Ã‚Â_a (#3.5),Papagaio do Futuro,alceu valenÃƒÅ’Ã‚Â_a silvÃƒÅ’Ã‚Â©rio pessoa,
567,567,242056,483173,How Do You Sleep? (Instrumental Score),John Lennon And The Plastic Ono Band (With The Flux Fiddlers),0,Imagine: John Lennon,1988,,How Do You Sleep?,john lennon,
568,568,242056,555143,How Do You Sleep? (Instrumental Score),John Lennon And The Plastic Ono Band (With The Flux Fiddlers),0,New Day,2009,,How Did I Get By Without You?,john waite,
569,569,242056,574305,How Do You Sleep? (Instrumental Score),John Lennon And The Plastic Ono Band (With The Flux Fiddlers),0,People: A Musical Celebration,1995,,How Wonderful We Are,john skip anderson,
570,570,242056,601719,How Do You Sleep? (Instrumental Score),John Lennon And The Plastic Ono Band (With The Flux Fiddlers),0,Sabrina,1995,,How Can I Remember?,john williams michael dees,
571,571,242056,685478,How Do You Sleep? (Instrumental Score),John Lennon And The Plastic Ono Band (With The Flux Fiddlers),0,The Spirit of 76,1990,,Do You Feel Like We Do,peter frampton john siomos rick wills mickey gallagher,
572,572,242056,692733,How Do You Sleep? (Instrumental Score),John Lennon And The Plastic Ono Band (With The Flux Fiddlers),0,The Yellow Handkerchief,2008,,Do Lord Remember Me,mississippi john hurt arrangement with ocean park music group,
573,573,242164,446827,Just Give Me Tonight,Michael Stanley Band,1983,Frozen Assets,1992,,Give It All Up For Love,michael tavera phil perry,
574,574,242242,214742,Let Us Praise Him,VIP Mass Choir featuring John P. Kee,0,Slovensko hladÃƒÅ’ÃƒÂÅ SuperStar,2004,PrvÃƒÅ’Ã‚Â© semifinÃƒÅ’ÃƒÂÅle (#1.8),Let it Be,john lennon paul mccartney mariÃƒÅ’ÃƒÂÅn fatrsÃƒÅ’_k,
575,575,242242,377564,Let Us Praise Him,VIP Mass Choir featuring John P. Kee,0,Britney Spears Live: The Femme Fatale Tour,2011,,Dont Let Me Be The Last To Know,robert john lange shania twain keith scott britney spears,
576,576,242242,428793,Let Us Praise Him,VIP Mass Choir featuring John P. Kee,0,Elizabethtown,2005,,Let It Out (Let It All Hang Out),b.b. cunningham gary mcewen jerry masters john hunter the hombres,
577,577,242242,682619,Let Us Praise Him,VIP Mass Choir featuring John P. Kee,0,The Rutles: All You Need Is Cash,1978,,Between Us (Made For Each Other),neil innes ollie halsall ricky fataar john halsey,
578,578,242326,564012,A Brand New Day,Diana Ross / Michael Jackson / Nipsey Russell / Ted Ross / Richard Pryor / Lena Horne / Mabel King / Thelma Carpenter / Theresa Merritt,1988,Oklahoma!,1999,,Many A New Day,richard rodgers josefina gabrielle,
579,579,242785,204586,Hold what you got,JOE TEX,1969,Scream Queens,2015,Pilot (#1.1),Hold Me Now,tom bailey alannah currie joe leeway new lyrics by eden xo malakouti eden xo malakouti,
580,580,242785,360652,Hold what you got,JOE TEX,1969,Barney: Lets Go to the Doctor,2012,,What Would I Do Without My Teeth?,joe phillips barney friends,
581,581,242785,721925,Hold what you got,JOE TEX,1969,When Will I Be Loved,2004,,Hold on to What Youve Got,joe tex,
582,582,243667,298506,Hey_ Western Union Man,Jerry Butler,0,Top of the Pops,1964,(1970-03-26),Hey  Western Union Man,jerry butler kenny gamble leon huff,
583,583,244876,11939,Did I Happen To Mention,Julia Fordham,1989,American Idol: The Search for a Superstar,2002,The Clean Dozen (#2.16),Where Did Our Love Go,lamont dozier brian holland eddie holland julia demato,
584,584,244960,452050,Walk Like A Woman (Album Version),David Byrne & Fatboy Slim feat. Charmaine Clamor,0,Girl,1998,,I Walk the Mole,david bassett walter salas-humara the moles,
585,585,245990,716039,Ring Them Bells,Bob Dylan,1989,WWE Tribute for the Troops,2008,,Ring Them Bells,bob dylan,
586,586,246633,691600,I Don't Know Where I'm Bound,Johnny Cash,2000,The Winning Hand,1985,,Dont Let Your Left Hand Know (What Your Right Hand Does),dolly parton johnny cash brenda lee kris kristofferson willie nelson,
587,587,247083,339127,Main Theme (Midnight Cowboy),The Royal Philharmonic Orchestra/Tolga Kashif,0,Ace Combat 5: The Unsung War,2004,,AC5 Main Theme,keiki kobayashi the warsaw philharmonic,
588,588,247259,672113,Il Trovatore (1988 Digital Remaster): Miserere...Ah_ che la morte ognora,Maria Callas/Giuseppe di Stefano/Coro del Teatro alla Scala_ Milano/Orchestra del Teatro alla Scala_ Milano/Herbert von Karajan,0,The Magic of David Copperfield II,1979,,Il barbiere di Siviglia (The Barber of Seville),gioachino rossini performed for the first time on february 20th 1816 in the teatro argentina in rome lazio italy,
589,589,247300,600293,So Tired,Russ Morgan,1997,Rumor Has It...,2005,,So Tired,russ morgan jack stuart kay starr,
590,590,247334,45945,Te to Namida,Hitomi Yaida,2001,ChÃƒÅ’Ã‚Â« semeitai Transformer: Beast Wars Neo,1999,,Te no Naka no Uchu,hitomi yuki,
591,591,247363,256643,One Day At A Time,Willie Nelson,1965,The Muppet Show,1976,Bernadette Peters (#2.12),Just One Person,larry grossman bernadette peters jim henson frank oz richard hunt dave goelz jerry nelson,
592,592,247363,599874,One Day At A Time,Willie Nelson,1965,Ruckus,1980,,ONE DAY AT A TIME,willie nelson hank cochran janie fricke,
593,593,247529,161123,What Other Reason (2008 Digital Remaster),Johnny Hates Jazz,1987,Music Scene,1969,(#1.3),Oh What a Night,marvin junior johnny funches the dells,
594,594,247529,362664,What Other Reason (2008 Digital Remaster),Johnny Hates Jazz,1987,Beauty,1998,,What the Heart Sees,geoff levin johnny pierce joanna adair christensen-pierce vanessa griaziano,
595,595,247529,374159,What Other Reason (2008 Digital Remaster),Johnny Hates Jazz,1987,Born to Be Sold,1981,,What Have You Got to Lose,lynda carter johnny harris,
596,596,248698,728818,Tong Poo,Ryuichi Sakamoto,0,Yellow Magic Orchestra Live at NHK,2011,,TONG POO,ryuichi sakamoto,
597,597,249269,203128,Crooked Teeth (Album Version),Death Cab for Cutie,2006,Saturday Night Live,1975,Scarlett Johansson/Death Cab for Cutie (#31.10),Crooked Teeth,death cab for cutie benjamin gibbard chris walla,
598,598,249271,427174,Esta Noche,JosÃŒÂ© Alfredo Jimenez Con Mariachi Vargas De Tecalitlan,0,El fronterizo,1952,,Esta Noche,josÃƒÅ’Ã‚Â© alfredo jimÃƒÅ’Ã‚Â©nez,
599,599,249341,397794,Highway 2,Drew Nelson,0,Consignment,2007,,TAKE 2,nelson guzman da commission malice,
600,600,249598,273169,When A Man Loves A Woman (The Way That I Love You),Billy Walker,0,The Tonight Show Starring Jimmy Fallon,2014,Josh Brolin/Kate McKinnon/Billy Ocean (#3.85),When the Going Gets Tough  the Tough Get Going,billy ocean robert john lange wayne brathwaite barry eastmond jimmy fallon,
601,601,250856,169994,El Gitano AntÃŒ_n,Peret,0,OchÃƒÅ’Ã‚Â©ntame... otra vez,2014,Somos rumberos (#3.4),Gitano AntÃƒÅ’_n,peret,
602,602,251347,510186,I Think I'm In Love,Daniel Merriweather,2009,Lady Magdalenes,2008,,I Will Think of You,daniel may dewey erney,
603,603,251998,161281,Telephone Song,The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan,1990,Musikladen,1972,(#1.12),Yodel Song,ray sawyer dr. hook the medicine show,
604,604,252630,390966,Dimples,John Lee Hooker,1956,Chooch,2003,,DIMPLES,john lee hooker,
605,605,252971,137687,Night Train,Paul Revere & The Raiders (featuring Mark Lindsay),1990,Levenslied,2011,(#2.2),Good Night,john lennon paul mccartney tijn docter hans dagelet choir,
606,606,252971,259755,Night Train,Paul Revere & The Raiders (featuring Mark Lindsay),1990,The Partridge Family,1970,Diary of a Mad Millionaire (#3.24),One Night Stand,wes farrell paul anka,
607,607,252971,489824,Night Train,Paul Revere & The Raiders (featuring Mark Lindsay),1990,Jake Speed,1986,,Night After Night,mark holden lea hart steve legassick,
608,608,253280,1690,Play That Funky Music,Vanilla Ice,1989,20 to 1,2005,Party Songs (#4.7),Play That Funky Music,vanilla ice rob parissi,
609,609,253385,91103,So In Love,Peggy Lee,1996,Fraggle Rock,1983,Dont Cry Over Spilt Milk (#1.10),Feel So Bad,philip balsam dennis lee steve whitmire dave goelz kathryn mullen karen prell,
610,610,253776,19552,Song About Love (Darius Zickus Remix),Leon Somov & Jazzu,0,Australian Idol,2003,Up Close & Personal Special (#3.27),A Song for You,leon russell daniel spillane,
611,611,253908,43713,Somebody Loves Me,Nat King Cole,1998,Celebrity Bowling,1971,,Everybody Loves My Baby,king richards fluegel knights,
612,612,253908,257413,Somebody Loves Me,Nat King Cole,1998,The Nat King Cole Show,1954,(#1.11),Somebody Loves Me,george gershwin nat king cole,
613,613,254059,256643,One For My Baby And 'One More For The Road,Willie Nelson and Leon Russell,0,The Muppet Show,1976,Bernadette Peters (#2.12),Just One Person,larry grossman bernadette peters jim henson frank oz richard hunt dave goelz jerry nelson,
614,614,254059,599874,One For My Baby And 'One More For The Road,Willie Nelson and Leon Russell,0,Ruckus,1980,,ONE DAY AT A TIME,willie nelson hank cochran janie fricke,
615,615,254305,329549,Long Tall Sally,Little Richard,1956,33 1/3 Revolutions Per Monkee,1969,,Long Tall Sally,robert bumps blackwell enotris johnson little richard,
616,616,254305,685250,Long Tall Sally,Little Richard,1956,The Sound of Mumbai: A Musical,2010,,So Long  Farewell,richard rodgers,
617,617,254622,210981,Medley: Let It Be Me / Give Peace A Chance [The Everly Brothers Show - 1970],The Everly Brothers,0,Shindig!,1964,(#1.5),Let It Be Me,gilbert bÃƒÅ’Ã‚Â©caud pierre delanoÃƒÅ’Ãƒâ€¡ mann curtis the everly brothers,
618,618,254622,305154,Medley: Let It Be Me / Give Peace A Chance [The Everly Brothers Show - 1970],The Everly Brothers,0,Tricked,2013,(#2.2),Let Forever Be,the chemical brothers noel gallagher,
619,619,255939,88401,Las Amarillas,Los Lobos,1988,Festival Internacional de la CanciÃƒÅ’_n de ViÃƒÅ’Ã‚Â±a del Mar,1963,ViÃƒÅ’Ã‚Â±a 1991: Noche 4,Muevan las industrias,jorge gonzÃƒÅ’ÃƒÂÅlez los prisioneros,
620,620,256229,462098,It Takes Two ('Hairspray'),Zac Efron,0,Hairspray,2007,,It Takes Two,marc shaiman zac efron,
621,621,256264,466968,I Can't Help Myself (Sugar Pie_ Honey Bunch),Lamont Dozier,0,Heaven Help Us,1985,,I Cant Help Myself,lamont dozier brian holland eddie holland the four tops,
622,622,256264,545957,I Can't Help Myself (Sugar Pie_ Honey Bunch),Lamont Dozier,0,Motown: The Early Years,2005,,I Cant Help Myself,brian holland lamont dozier eddie holland the four tops,
623,623,256336,55155,Harvest Moon  (LP Version),Neil Young,1993,Daily Ukulele,2013,Harvest Moon - Neil Young (#1.296),Harvest Moon,neil young olivia vessel,
624,624,256481,349772,I Can't Fight Love,Jimmy Martin,0,Angelas Ashes,1999,,I Cant Give You Anything But Love,dorothy fields jimmy mchugh billie holiday,
625,625,257407,216709,A Case Of You,Diana Krall,2000,So You Think You Can Dance,2005,The Top 12 Perform (#6.17),A Case of You,diana krall,
626,626,258133,520678,Rockin' All Over The World,Status Quo (Karaoke),1977,Live Aid,1985,,Rockin all over the World,john fogerty status quo,
627,627,258207,342874,Who Do You Think We Are (Album Version),Alice Cooper,1981,Alice Cooper ÃƒÅ’ÃƒÅ  Paris,1982,,Who Do You Think We Are? (reprise),alice cooper duane hitchings,
628,628,259639,167577,Paranoid,The Sunday Drivers,2007,No disparen al pianista,2007,(#1.8),Paranoid,the sunday drivers,
629,629,259742,234103,MuÃŒÂ©rdete la lengua,Francisca Valenzuela,2007,TeletÃƒÅ’_n,1978,TeletÃƒÅ’_n 2010: DÃƒÅ’_a 2 (#23.2),MuÃƒÅ’Ã‚Â©rdete la lengua,francisca valenzuela,
630,630,260181,645449,Lust For Life,Iggy Pop,1977,The 90s: Ten Years That Changed the World,2015,,Lust for Life,iggy pop david bowie,
631,631,260274,414366,Mozart: Die Entfuhrung aus dem Serail (The Abduction from the Seraglio): Overture,Wolfgang Amadeus Mozart,0,Die Rosel vom Schwarzwald,1956,,Die verrÃƒÅ’_ckte Blasmusik,wolfgang wahl peer schmidt,
632,632,261390,213756,Teach Your Children,Crosby_ Stills_ Nash & Young,1970,Six Feet Under,2001,Untitled (#4.12),Teach Your Children,graham nash,
633,633,261446,158480,I'm The Urban Spaceman,The Bonzo Dog Doo Dah Band,1968,Monty Python: Almost the Truth - The Lawyers Cut,2009,The Not-So-Interesting Beginnings (#1.1),Im the Urban Spaceman,neil innes bonzo dog dooh dah band,
634,634,264447,571285,This Is My Heaven,Elvis Presley,1994,Paradise  Hawaiian Style,1966,,This Is My Heaven,bill giant bernie baum florence kaye elvis presley,
635,635,264515,718542,Sunlight,Pat Metheny Group,0,We Are Your Friends,2015,,Sunlight [Extended Club Mix],stephen fasano oliver thornton mark ralph the magician years arrangement with warner music group film tv licensing,
636,636,264886,470631,Rhythm Is A Dancer (Roll On),SNAP!,1997,Hin und weg,2014,,Rhythm is a Dancer,snap,
637,637,264995,96655,The Girl From Ipanema,Justin Young,0,Ghost Whisperer,2005,Dead Listing (#5.8),American Girl,justin james,
638,638,265314,168421,Blizzard,Klaus Doldinger,0,Nonni und Manni,1988,,Blizzard,klaus doldinger,
639,639,265777,113496,In-A-Gadda-Da-Vida (Live Version),Iron Butterfly,1995,House M.D.,2004,The Jerk (#3.23),In-A-Gadda-Da-Vida,doug ingle iron butterfly,
640,640,265893,483600,Ice Bound,Steve Lukather,2008,In Gods Hands,1998,,Glory Bound,shawn smith steve fisk pigeonhed,
641,641,265969,167579,Verano fatal,Nacho Vegas & Christina Rosenvinge,2007,No disparen al pianista,2007,(#1.9),Verano fatal,christina rosenvinge nacho vegas,
642,642,266603,600708,Border Town Blues,Long John Hunter,0,Running from the Guns,1987,,This Town,elton john,
643,643,266621,691271,The Song From Moulin Rouge,June Hutton,0,The Wicker Tree,2011,,The Wicker Tree Song,robin hardy keith easdale june nelson gordon wilson stuart glasgow clyderbank male voice choir,
644,644,266661,393221,Mairzy Doats,The Merry Macs,1987,Class of 44,1973,,Mairzy Doats,milton drake al hoffman jerry livingston the merry macs,
645,645,266955,237479,Broken Down Cowboy,John Fogerty,2007,The Beatles,1965,Im Down/Run for Your Life (#2.3),Im Down,john lennon paul mccartney the beatles,
646,646,266955,473156,Broken Down Cowboy,John Fogerty,2007,Home Sweet Home,2012,,Down To The Wire,j. palmer john courage bill palmer ephriam nagler,
647,647,267100,430661,a. Out to Sea  b. The Shark Cage Fugue from Jaws,John Williams;The Boston Pops Orchestra,0,Encomium: A Tribute to Led Zeppelin,1995,,Out on the Tiles,jimmy page robert plant john bonham blind melon,
648,648,267690,166268,You're a whore,Bad Cash Quartet,1998,New Tricks,2003,Loyalties and Royalties (#5.4),Youre a Real Wild Woman,bad faith dennis waterman,
649,649,268031,344716,Years After You,Eddie Rabbitt,0,Almost Married,1942,,After All These Years,eddie cherkose jacques press jane frazee,
650,650,269501,237594,Organ Concerto No. 13 in F Major - 'The Cuckoo and the Nightengale': IV. Larghetto,London Philharmonic Orchestra_ Sir Adrian Boult_ Edward Power Biggs,0,The Beiderbecke Affair,1985,Can Anybody Join In? (#1.2),Piano Concerto No 2,sergei rachmaninoff london symphony orchestra,
