,Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
266,1024,1024,397563,281533,Thinking Of You,Katy Perry,2008,The Vampire Diaries,2009,Pilot (#1.1),Thinking of You,katy perry,1
36,493,493,215284,14227,Jingle Bells (Album Version),Boney James,0,Animaniacs,1993,Hooray for North Hollywood: Part 2 (#5.6),Jingle Bells,james pierpont,0
372,2549,2549,916882,592054,Andvari,Sigur RÃŒÃŽ_s,2005,Remember Me,2010,,Andvari,jon thor birgisson orri p. dyrason georg holm kjartan sveinsson sigur rÃŒÃ„ÂÃ•_s,1
58,811,811,326293,413586,Where Do I Go From Here,New Kids On The Bloc,1990,Diary of a Wimpy Kid,2010,,WHAT DO YOU WANT FROM ME,caleb turman austin bello jonathan cook kent garrison forever the sickest kids,0
41,603,603,251998,161281,Telephone Song,The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan,1990,Musikladen,1972,(#1.12),Yodel Song,ray sawyer dr. hook the medicine show,0
270,1111,1111,428401,298566,Itchycoo Park,The Small Faces,1967,Top of the Pops,1964,(1976-01-08),Itchycoo Park,steve marriott ronnie lane small faces,1
50,722,722,297223,244695,The Vegan Revolution Draft Dodger Anthem,Good Clean Fun,1998,The Footy Show,1994,The Grand Final Footy Show 2012 (#19.27),The Anthem,good charlotte benji madden joel madden john feldmann,0
209,121,121,50937,9858,Falling In Love (LP Version),Randy Newman,1988,Ally McBeal,1997,Ally McBeal: The Musical  Almost (#3.21),Falling In Love,randy newman vonda shepard,1
309,1854,1854,702210,149438,Love Is All Around (The Mary Tyler Moor Show Theme),Sonny Curtis,0,Mary Tyler Moore,1970,Murray Ghosts for Ted (#7.20),Love Is All Around,sonny curtis,1
308,1806,1806,685657,439346,All The Candles in the World (LP Version),Jane Siberry,1993,Final Destination,2000,,All the Candles in the World,jane siberry arrangement with warner special products,1
322,1998,1998,752135,191449,So Real,Jeff Buckley,1994,Rage,1987,Grinspoon Guest Program Rage,So Real,jeff buckley michael tighe,1
123,1685,1685,644702,279886,Who Can I Turn To?,US Army Field Band Jazz Ambassadors,0,The Tonight Show with Jay Leno,1992,Rainn Wilson/Epic Meal Time/Serj Tankian (#19.110),You Can Call Me Al,paul simon the tonight show band,0
222,344,344,148476,206167,Demons,Fatboy Slim,2000,Sense8,2015,Demons (#1.6),Demons,fatboy slim macy gray bill withers fatboy slim  ),1
62,845,845,336813,393392,The Man I Love,Paul Whiteman & His Orchestra,0,Classic Widows,1995,,Odd Man Out  Prelude,william alwyn london symphony orchestra,0
295,1555,1555,582669,588223,The Passenger,Iggy Pop,1977,Radiofreccia,1998,,The Passenger,iggy pop,1
130,1764,1764,672058,36061,What Was Once...,David Torn,1995,Britains Got More Talent,2007,2015: Live Semi-Final 4 (#9.11),What I Did for Love,david guetta giorgio tuinfort breyan stanley isaac jason evigan sam martin sean douglas emeli sandÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â©,0
187,2442,2442,886750,472861,These Foolish Things,Dinah Shore_ Harry Zimmerman Orchestra,0,Hollywoodland,2006,,Scuse These Blues,quincy jones the arturo ofarrill orchestra,0
23,327,327,141196,608145,Little Girl,John Mayall & The Bluesbreakers / Eric Clapton,0,Seduced and Abandoned,2013,,Girl  Beautiful Girl,john sebastian,0
43,611,611,253908,43713,Somebody Loves Me,Nat King Cole,1998,Celebrity Bowling,1971,,Everybody Loves My Baby,king richards fluegel knights,0
0,10,10,5223,493877,Um Gosto De Sol,Milton Nascimento,1972,Jorge  um Brasileiro,1988,,Jorge  Um Brasileiro,tÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥_lio mourÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â£o ronaldo bastos milton nascimento,0
201,2661,2661,940892,542611,Killing Floor,The Electric Flag-An American Music Band;Michael Bloomfield,0,Mississippi Grind,2015,,Floor To Crawl,james hand arrangement with concord music group inc.,0
330,2094,2094,784896,459461,Pressure Drop,Toots & The Maytals,1975,Grosse Pointe Blank,1997,,Pressure Drop,toots hibbert the specials,1
98,1327,1327,499755,307211,Think About Me (Joey Negro Club Mix),Artful Dodger Featuring Michelle Escoffery,0,Tuesday Night Book Club,2006,,Think Twice,michelle penn,0
377,2614,2614,929380,544013,Give Up The Funk (Tear The Roof Off The Sucker),Parliament,1975,Moneyball,2011,,Give Up The Funk (Tear The Roof Off The Sucker),george clinton   (as george clinton jr.) bootsy collins jerome brailey parliament,1
178,2391,2391,876848,10245,The Witch Doctor,David Seville & Orchestra with The Chipmunks,0,Alvin & the Chipmunks,1983,,Witch Doctor,ross bagdasarian the chipmunks,0
256,885,885,351640,443622,White Christmas,Bing Crosby,1942,Four Christmases,2008,,White Christmas,irving berlin bing crosby,1
94,1238,1238,470613,566411,An Old Fashioned Christmas,The Statler Brothers,1994,One in a Million,1936,,Old Folks at Home (Swanee River),stephen foster the ritz brothers  during their first comedy routine,0
382,2646,2646,937171,208868,Ice Cream,New Young Pony Club,2004,Shark,2006,In Absentia (#2.7),Ice Cream (Van She Remix),new young pony club,1
95,1255,1255,475640,653911,Ecco Il Birbo Che Tha Offesa (Don Giovanni_ Act 1,Wolfgang Amadeus Mozart,0,The Contender,2000,,Minuet From Don Giovanni,wolfgang amadeus mozart john carrington harpist,0
341,2176,2176,809503,30783,Happiest Girl In the Whole USA,Donna Fargo,1995,Big Love,2006,The Happiest Girl (#2.10),The Happiest Girl in the Whole USA,donna fargo daveigh chase,1
169,2271,2271,840223,658665,Epigraph No. 1_ Var. 1,Ketil BjÃŒÃŽÃŒ_rnstad_ David Darling,2000,The Exorcist,1973,,Study No. 1,david borden,0
69,956,956,374056,535749,One Time Too Many,Willie Nelson / Steven Tyler,0,Maxwell,2013,,Time on our Side,william henries steven haller,0
48,702,702,289844,437906,E Por Vezes (Dueto Com Susana FÃŒÃŽÃ¥Â©lix),Jose Cid,0,Feel the Noise,2007,,Por Ti,jose m. solis meme solis,0
207,14,14,6139,694050,Things Behind The Sun,Nick Drake,1972,Things Behind the Sun,2001,,Things Behind the Sun,nick drake,1
279,1249,1249,473741,188886,Pretty Vacant (Live),Sex Pistols,1991,Punklandia,2008,Vaatteet on mun aatteet (#1.1),Pretty Vacant,steve jones glen matlock paul cook john lydon the sex pistols,1
227,439,439,188836,47302,Age Of Consent,New Order,1983,Cold Case,2003,Chinatown (#7.8),Age of Consent,bernard sumner peter hook stephen morris gillian gilbert new order,1
148,1977,1977,746773,247165,I Can't Help It (If I'm Still In Love With You),Hank Williams,1951,The Graham Kennedy Show,1968,(1973-08-14),I Cant Dance to Your Music,jeff barry mentor williams john farnham,0
143,1909,1909,722722,127353,Redemption Day,Sheryl Crow,1996,Katie,2012,(#1.78),This Day,sheryl crow,0
180,2397,2397,877260,374411,The Christmas Song,Warren Hill,0,Boskos Picture Show,1933,,The Gold Diggers Song (Were in the Money),harry warren,0
131,1765,1765,672058,73511,What Was Once...,David Torn,1995,Dolly,1987,Down in New Orleans (#1.21),What a Wonderful World,bob thiele george david weiss george kirby,0
347,2215,2215,820726,161171,Velocity Girl (Alt. Mix),Primal Scream,0,Music for Misfits: The Story of Indie,2015,Into the Mainstream (#1.3),Velocity Girl,bobby gillespie primal scream,1
388,2738,2738,961155,2139,I'm a Doggy,Marvin Pontiac,2001,24,2001,2:00 p.m.-3:00 p.m. (#1.15),Im A Doggy,marvin pontiac,1
262,970,970,378203,451975,Desire To Fire (Album Version),Machine Head,0,Ginger Snaps,2000,,Desire To Fire,robb flynn machine head,1
203,2685,2685,947910,651972,Piano Concerto No. 2: III_ Allegro scherzando,Sergei Rachmaninov,0,The Byron Janis Story,2010,,Piano Concerto #3 in D-Minor,sergei rachmaninoff byron janis,0
84,1152,1152,449340,485664,Unnamed Blues,New Roanoke Jug Band,0,Intent to Kill,1958,,Blues,derek new,0
121,1662,1662,636915,326637,Y Te Vas,Jose Luis Perales,1975,10.000 noches en ninguna parte,2013,,Porque te vas,jeanette josÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â© luis perales,0
358,2334,2334,863493,448360,The Mountain (Album Version),DevilDriver,2003,Galerians: Rion,2004,,The Mountain,devildriver,1
356,2300,2300,851477,193812,Stuck In The Middle With You,Stealers Wheel,1973,Red Band Society,2014,Pilot (#1.1),Stuck in the Middle With You,gerry rafferty joe egan stealers wheel,1
91,1200,1200,461003,156049,Why Wont You,The Rogers Sisters,2006,MisteRogers Neighborhood,1968,1469: Superheroes (#10.9),Wont You Be My Neighbor?,fred rogers,0
82,1103,1103,425256,725097,I'll Get By (As Long As I Have You),Harry James And His Orchestra,2006,Win a Date with Tad Hamilton!,2004,,Get Up,james michael taylor dayne,0
267,1067,1067,413893,468395,IPT2,Battles,2004,Helvetica,2007,,IPT2,battles,1
119,1631,1631,627801,331221,Let the Letter Read You,Philip Glass,0,99 Homes,2014,,Let Me Down,keith jackson steven davis steve shelton the glass heroes,0
291,1499,1499,562888,526843,God Only Knows (Sax Solo),The Beach Boys,0,Luger,1981,,God only knows,brian wilson tony asher the beach boys,1
57,786,786,321697,210405,If,John Berry,0,Shindig!,1964,(#1.28),If I Fell,john lennon paul mccartney the wellingtons,0
321,1993,1993,750868,669736,Parisienne Walkways,Gary Moore / Phil Lynott,1996,The Last of the High Kings,1996,,Parisienne Walkways,phil lynott gary moore thin lizzy,1
257,912,912,359921,325454,How Could An Angel Break My Heart,Kenny G with Toni Braxton,1997,ÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Âdolos,2003,Gala 1 - Meu ÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Âdolo (#1.9),How Could An Angel Break My Heart,toni braxton kenneth babyface edmonds dÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â©bora gonÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥_alves,1
345,2189,2189,814118,487563,The Trail Of The Lonesome Pine,Laurel & Hardy,2000,It Came from Somewhere Else,1988,,Trail of the Lonesome Pine,harry carroll lyrics by ballard macdonald stan laurel oliver hardy,1
42,606,606,252971,259755,Night Train,Paul Revere & The Raiders (featuring Mark Lindsay),1990,The Partridge Family,1970,Diary of a Mad Millionaire (#3.24),One Night Stand,wes farrell paul anka,0
105,1410,1410,538986,77530,Que Tal Si Te Vas Conmigo,Los Dareyes De La Sierra,0,Duro de domar,2005,Beto Casella/Los Twist (#9.15),PensÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â© que se trataba de cieguitos,pipo cipolatti los twist,0
273,1150,1150,448492,246525,The Stroke (Live) (24-Bit Digitally Remastered 05),Billy Squier,2005,The Good Guys,2010,Pilot (#1.1),The Stroke,billy squier,1
343,2187,2187,813177,173243,I Don't Want To Be,Gavin DeGraw,2003,One Tree Hill,2003,Let the Reigns Go Loose (#2.7),I Dont Want To Be,gavin degraw,1
38,530,530,228594,118057,From This Moment On (2009 Digital Remaster),Frank Sinatra,0,Idols!,2002,Wildcards (#2.12),This Is the Moment,frank wildhorn leslie bricusse frank de graaf,0
53,744,744,306302,297861,High School (Album Version),The Friday Night Boys,0,Tohuwabohu,1990,Unplugged (42) (#7.6),School Days,chuck berry the beach boys,0
367,2449,2449,889218,679447,With A Little Help From My Friends,Wet Wet Wet,1988,The Princes Trust Rock Gala,1988,,With a Little Help from my Friends,john lennon paul mccartney eric clapton mark knopfler nathan east elton john wet wet wet marti pellow graeme clark tom cunningham neil mitchell midge ures all star band phil collins brian may  ) howard jones rick astley colin vearncombe joe cocker the bee gees robin gibb  maurice gibb ) peter gabriel,1
128,1724,1724,660422,391836,Brandenburgisches Konzert Nr.4 BWV  1049 - Andante,Johann Sebastian Bach,0,Chronik der Anna Magdalena Bach,1968,,Italian Concerto  BWV 971 - Andante,johann sebastian bach,0
290,1488,1488,558425,388874,El Amor Espera,Charly Garcia,2002,Charly GarcÃŒÃ„ÂÃ•_a: El Concierto SubacuÃŒÃ„ÂÃ•ÃŒÃ„Ã¥Âtico,2010,,El amor espera,charly garcÃŒÃ„ÂÃ•_a,1
28,363,363,153708,304886,Blue In Green,US Army Field Band Jazz Ambassadors,0,Treme,2010,At the Foot of Canal Street (#1.4),Blue Drag,the jazz vipers lucia micarelli,0
183,2410,2410,878334,519195,Sista O Dissey,Till Von Sein,0,Lilja 4-ever,2002,,O Virtius Sapientie,hildegard von bingen flÃŒÃ„ÂÃ•_skkvartetten,0
163,2193,2193,815775,367942,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Bill W.,2012,,Unaccompanied Cello Suite No. 5 in C Minor  BWV 1011- Allemande,johann sebastian bach yo-yo ma arrangement with sony music licensing,0
151,1991,1991,750047,29456,If I Can't Eat Right,Killer Mike feat. Gangsta Pill and Rochelle Fox,2008,Benched,2014,Hooked & Booked (#1.3),I Cant Hang,nathan fox,0
244,652,652,269791,191369,Whole Lotta Love (2007 Remastered LP Version),Led Zeppelin,2007,Rage,1987,(2005-01-29),Whole Lotta Love,jimmy page robert plant john paul jones john bonham led zeppelin,1
202,2680,2680,946728,278075,What It Is,Dave Weckl Band,2005,The Tonight Show with Jay Leno,1992,(#20.12),What I Like About You,wally palmar mike skill james marinos the tonight show band,0
31,409,409,177265,380134,Don't Know Why,John Holt,2000,Bums,2006,,Dont Know How Good,john g.a. campbell,0
32,420,420,179431,389234,Cant You Find Another Way Of Doing It Baby,Sam & Dave,0,Che goh ha tin yau yee sing,2002,,Cant Afford To Love,jovi theng dave wong,0
127,1708,1708,652902,329098,September When It Comes,Rosanne Cash Featuring Johnny Cash,2000,29 und noch Jungfrau,2007,,When We Are Together,johnny mcelhone sharleen spiteri texas,0
185,2428,2428,882827,273169,When Morning Comes,VIP Mass Choir featuring John P. Kee,0,The Tonight Show Starring Jimmy Fallon,2014,Josh Brolin/Kate McKinnon/Billy Ocean (#3.85),When the Going Gets Tough  the Tough Get Going,billy ocean robert john lange wayne brathwaite barry eastmond jimmy fallon,0
362,2363,2363,869483,198959,Sex Over the Phone,Village People,1985,Rude Tube,2008,Rom Dotcom (#6.3),Sex Over the Phone,jacques morali bruce vilanch fred zarr the village people,1
288,1480,1480,556417,307326,Superstition,Stevie Wonder,1972,Turn Back Time: The Family,2012,The 1970s (#1.5),Superstition,stevie wonder,1
352,2237,2237,829280,257082,You Are The Sunshine Of My Life,Stevie Wonder,1972,The Muppets.,2015,Because... Love (#1.16),You Are the Sunshine of My Life,stevie wonder jack white,1
147,1968,1968,745179,731120,Way Down,Marty Stuart And His Fabulous Superlatives / Handsome Harry,2005,Yu-Gi-Oh!: The Abridged Movie,2007,,One Way or Another,nigel harrison debbie harry blondie,0
285,1394,1394,532005,142074,These Arms Of Mine [Live Europe Version],Otis Redding,1967,Lost,2004,S.O.S. (#2.19),These Arms of Mine,otis redding,1
360,2348,2348,868023,385291,A Garden In The Rain (Digitally Remastered),The Four Aces,0,Carol,2015,,A Garden in the Rain,al alberts the four aces carroll gibbons james dyrenforth,1
177,2375,2375,872527,279110,Man on,Alan Moorhouse Band,0,The Tonight Show with Jay Leno,1992,(#21.113),Soul Man,isaac hayes david porter the tonight show band,0
99,1337,1337,505040,355957,Four Little Diamonds,Electric Light Orchestra,1983,Away We Go,2009,,The Four Seasons Spring Violin Concerto in E. Allegro,antonio vivaldi royal philharmonic orchestra,0
338,2155,2155,800625,196743,Fiilaten ja hÃŒÃŽÃ¥_ylÃŒÃŽ_ten,Rauli Badding Somerjoki,1992,Rock Suomi,2010,Amerikan ÃŒÃ„ÂÃ•_ÃŒÃ„ÂÃ•_ni (#1.4),Fiilaten ja hÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥_ylÃŒÃ„ÂÃ•_ten (Reeling and Rocking),chuck berry rauli somerjoki,1
335,2119,2119,791460,49263,Love Will Tear Us Apart,Joy Division,1980,CopStories,2013,KopfschÃŒÃ„ÂÃ•_ssler (#1.9),Love Will Tear Us Apart,joy division,1
197,2616,2616,930439,524522,I'm No Fool_ I Know The Rule (If You Love Me Like You Say),Smokey Wilson,0,Love & Mercy,2014,,Caroline  No,brian wilson tony asher the beach boys,0
243,641,641,265969,167579,Verano fatal,Nacho Vegas & Christina Rosenvinge,2007,No disparen al pianista,2007,(#1.9),Verano fatal,christina rosenvinge nacho vegas,1
115,1594,1594,606384,335104,Population Dead,David Newman,2005,A Perfect Day,2009,,Still Dead,thomas newman,0
265,981,981,382766,430724,Hey Ma,Cam'Ron / Juelz Santana / Freekey Zeekey / Toya,2003,End of Watch,2012,,Hey Ma,camron juelz santana darryl pittman lionel richie freekey zeekey toya,1
72,982,982,382771,23221,Take The Money And Run,Steve Miller Band,1976,Baseball,1994,A National Heirloom (#1.4),Take Me Out to the Ballgame,jack norworth albert von tilzer held welzel dick miller the national pastime orchestra,0
333,2112,2112,787535,636963,Black,Sevendust,1997,Swimfan,2002,,Black,sevendust,1
25,354,354,151086,457152,All Night Long (LP Version),Tom Paxton,0,Grand Theft Auto IV: The Ballad of Gay Tony,2009,,Nude Night,ed simons tom rowlands the chemical brothers,0
165,2218,2218,821632,577016,Make A Joyful Noise (LP Version),Jesse Davis,0,Ping Pong Playa,2007,,Make Noise,lalo davis of five stone five stone,0
337,2143,2143,796456,659158,(Let Me Up) I've Had Enough (Album Version),Kenny Wayne Shepherd Band,1995,The Fan,1996,, (LET ME UP) IVE HAD ENOUGH,kenny wayne shepherd mark selby joe nadeau arrangement with warner special products,1
374,2552,2552,917310,214337,We Built This City,Starship,1985,Skins,2007,Finale (#1.9),We Built This City,bernie taupin martin page dennis lambert pÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â©ter wolf jefferson starship,1
174,2337,2337,864973,216299,I Got You - Original Live,James Brown and The Soul G's,0,So You Think You Can Dance,2005,1 of 11 Voted Off (#7.7),I Got the Feelin,james brown,0
376,2605,2605,928309,463649,Mima - Original,Eddie Harris,0,Happy Accidents,2000,,Mima,lalo schifrin eddie harris,1
39,542,542,231819,118538,Deep Black Mystery,Norman Howard,0,Idols,2002,Top 5: Seasons and Colours (#4.23),Black Velvet,david tyson christopher ward andriette norman,0
193,2568,2568,921382,366023,Beautiful Girl,Mark Sultan,2007,Beverly Hills Chihuahua,2008,,Rich Girl,mark batson jerry bock kara dioguardi gwen stefani eve,0
314,1915,1915,726567,339339,Helter Skelter,Dana Fuchs,2007,Across the Universe,2007,,Helter Skelter,john lennon paul mccartney dana fuchs,1
88,1181,1181,457632,425484,Oh Well,Tom Petty And The Heartbreakers,2009,Edie & Pen,1996,,Oh Me Oh My Sweet Baby,diamond rio michael garvin tom shapiro,0
70,958,958,374056,599874,One Time Too Many,Willie Nelson / Steven Tyler,0,Ruckus,1980,,ONE DAY AT A TIME,willie nelson hank cochran janie fricke,0
87,1170,1170,455437,236260,Moon River (LP Version),Johnny Crawford,0,The Andy Williams Show,1962,,Moon River,henry mancini johnny mercer,0
292,1506,1506,563319,255577,A Swingin Safari,Bert Kaempfert And His Orchestra,2003,The Match Game,1962,Kitty Carlisle & Milt Kamen (#1.85),A Swingin Safari (The Theme of The Match Game),bert kaempfert,1
242,598,598,249271,427174,Esta Noche,JosÃŒÃŽÃ¥Â© Alfredo Jimenez Con Mariachi Vargas De Tecalitlan,0,El fronterizo,1952,,Esta Noche,josÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â© alfredo jimÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Â©nez,1
277,1215,1215,462385,83854,Superhero,Jane's Addiction,2003,Entourage,2004,The Young and the Stoned (#4.9),Superhero,janes addiction,1
211,173,173,71124,567201,Cattle Call,Tex Ritter,2004,Opry Video Classics: Pioneers,2007,,Cattle Call,tex owens eddy arnold,1
9,87,87,34877,177880,Winter Fawn,Matt Pond PA,2010,Parenthood,2010,Lean In (#6.9),Winter,matt corby,0
359,2336,2336,864040,301608,Keep On Loving You,REO Speedwagon,1980,Top of the Pops,1964,(1981-05-07),Keep on Loving You,reo speedwagon,1
195,2600,2600,928087,702938,Do You Feel Like We Do (Live),Peter Frampton,2003,Triple 9,2016,,Lets Do It,peter held daniel pollard heroes x villains,0
251,794,794,324382,699579,Indolence,SolAce,0,Tony Hawks Underground,2003,,Indolence,solace,1
323,2001,2001,752537,218562,Samba Italiano,Adoniran Barbosa,2010,Som Brasil,2007,Adoniran Barbosa (#4.1),Samba Italiano,adoniran barbosa demÃŒÃ„ÂÃ•ÃŒÃ¢Ã¥Ã‡nios da garoa,1
192,2548,2548,916797,450807,Get On Up (Clean LP Version),Trick Daddy (Featuring The Lost Tribe_ Money Mark Of Tre +6 and JV),0,Get Rich or Die Tryin,2005,,Get Rich Opening Logos,sha money x.l. derek prosper kenyatta beasley,0
117,1615,1615,618915,560076,Song For My Friends,Jim Bob,0,Nothing But Trouble,1991,,Same Song,shock-g ron brooks tupac shakur digital underground george clinton jim vitti j.s. theracon bootsy collins parliament jimmy mchugh dorothy fields,0
47,675,675,278437,623861,My Girl (She's Like Heaven To Me),White Plains,0,Soul Food,1997,,My Girl,smokey robinson ronald white,0
172,2295,2295,850150,712909,I'm Just A Dreamer,Mark Medlock,2007,VerfÃŒÃ„ÂÃ•_hrung fÃŒÃ„ÂÃ•_r AnfÃŒÃ„ÂÃ•_nger,2005,,Just For You,lionel richie paul barry mark taylor,0
