,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
74084,74084,659224,217966,Dog Days Are Over (Demo),Florence + The Machine,2009,So You Think You Can Dance,2005.0,Top Three Perform (#7.22),Dog Days Are Over,florence welch+isabella summers+florence+the machine
74175,74175,672644,243794,Who's That Lady,Peter White,0,The Ernie Sigley Show,1974.0,(1975-07-22),Youre a Lady,peter skellern+ernie sigley
74238,74238,592970,372067,Suwannee Jo (Album Version),PAULA COLE,0,Blue in the Face,1995.0,,Suwannee Joe,paula cole
74382,74382,646829,237375,New York City (2005 Digital Remaster),John Lennon And Yoko Ono,0,The Beatles Anthology,1995.0,,Whats the New Mary Jane,john lennon+paul mccartney+the beatles
74396,74396,712305,237375,New York_ New York (Main Theme),The Boston Pops Orchestra / John Williams,0,The Beatles Anthology,1995.0,,Whats the New Mary Jane,john lennon+paul mccartney+the beatles
74434,74434,215989,237375,New York 19,John Lewis & Svend Asmussen,0,The Beatles Anthology,1995.0,,Whats the New Mary Jane,john lennon+paul mccartney+the beatles
74533,74533,258213,237375,John Lennon Talks About New York And The Concert At Forest Hills On 29th August 1964,The Beatles,0,The Beatles Anthology,1995.0,,Whats the New Mary Jane,john lennon+paul mccartney+the beatles
74576,74576,942766,627644,SobrevivirÌ©,Monica Naranjo,2000,Stage,2009.0,,SobrevivirÌ©,luigi albertelli+enrico riccardi+mÌ_nica naranjo
74589,74589,876848,10245,The Witch Doctor,David Seville & Orchestra with The Chipmunks,0,Alvin & the Chipmunks,1983.0,,Witch Doctor,ross bagdasarian+the chipmunks
75038,75038,912234,90523,Selection: (a) Casimo (b) I Love You (c) You Can Never Blame A Girl For Dreaming (d) Goodbye_ Little Rosebud (e) Wildflower (f) April Blossoms (g) Bambalina (h) Goodbye_ Little Rosebud,The London Theatre Orchestra,0,Forever,2014.0,Dead Men Tell Long Tales (#1.18),String Quartet No.3 In G  K.156  I.Presto,wolfgang amadeus mozart+the new london orchestra
75052,75052,713790,90523,Serenade For Strings No. 13 In G Major_ KV 525 'Eine Kleine Nachtmusik,Wolfgang Amadeus Mozart,0,Forever,2014.0,Dead Men Tell Long Tales (#1.18),String Quartet No.3 In G  K.156  I.Presto,wolfgang amadeus mozart+the new london orchestra
75163,75163,467211,258888,Cairo Suite 1,Martin O'Donnell And Michael Salvatori,2010,The Office,2001.0,Christmas Special: Part 2 (#3.2),The Look of Love  Pt. 1,martin fry+david palmer+stephen singleton+mark white+abc
75289,75289,204698,722246,Concrete Boogie (Album Version),David Sanborn,0,Where Do We Go from Here?,1945.0,,1776 Boogie,david raksin
75408,75408,549906,717195,2001: A SPACE ODYSSEY - Blue Danube Waltz,Strauss,0,Waltzes from Vienna,1934.0,,Waltz Wine  Woman and Song Op.333,johann strauss
75466,75466,22649,31914,All You Need Is Rock N Roll  (2006 Remastered Live on Westwood One Version),White Lion,0,Bloodline,2015.0,Part 2 (#1.2),Roll Away,the soft white sixties
75756,75756,683417,534805,You're Going To Lose That Girl,The Beatles Revival Band,0,Mask,1985.0,,Girl,paul mccartney  / john lennon+the beatles
75834,75834,385847,534805,Younger Girl [Live],John Sebastian,0,Mask,1985.0,,Girl,paul mccartney  / john lennon+the beatles
75864,75864,154465,534805,Good Morning Little School Girl ( LP Version ),The Paul Butterfield Blues Band,0,Mask,1985.0,,Girl,paul mccartney  / john lennon+the beatles
75882,75882,911143,534805,My Sweet Girl,John Hiatt,1997,Mask,1985.0,,Girl,paul mccartney  / john lennon+the beatles
75920,75920,141196,534805,Little Girl,John Mayall & The Bluesbreakers / Eric Clapton,0,Mask,1985.0,,Girl,paul mccartney  / john lennon+the beatles
76036,76036,921986,10766,(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,0,American Dreams,2002.0,,(Love Is Like A) Heat Wave,brian holland+lamont dozier+eddie holland+martha+the vandellas
76095,76095,461003,155974,Why Wont You,The Rogers Sisters,2006,MisteRogers Neighborhood,1968.0,1418 (#8.28),Wont You Be My Neighbor?,fred rogers
76160,76160,67291,544013,Get Your Funk On,George Clinton,0,Moneyball,2011.0,,Give Up The Funk (Tear The Roof Off The Sucker),george clinton   (as george clinton+jr.)+bootsy collins+jerome brailey+parliament
76199,76199,943037,469523,Walk Around Time,The Robert Cray Band / The Memphis Horns,0,Hi De Ho,1947.0,,AT DAWN TIME,cab calloway  with his band
76256,76256,552629,469523,Long Time,Yonder Mountain String Band,2008,Hi De Ho,1947.0,,AT DAWN TIME,cab calloway  with his band
76285,76285,813714,469523,Just A Matter Of Time,The Randy Rogers Band,0,Hi De Ho,1947.0,,AT DAWN TIME,cab calloway  with his band
76287,76287,25924,469523,Waste A Little Time On Me,The Michael Stanley Band,1975,Hi De Ho,1947.0,,AT DAWN TIME,cab calloway  with his band
76322,76322,659252,469523,It's Time To Go Home,Marty Stuart And His Fabulous Superlatives,0,Hi De Ho,1947.0,,AT DAWN TIME,cab calloway  with his band
76363,76363,895146,469523,When It's Sleepy Time Down South,The Al Hirt Band,1963,Hi De Ho,1947.0,,AT DAWN TIME,cab calloway  with his band
76430,76430,779780,469523,Time To Roll,The Dickey Betts Band,1988,Hi De Ho,1947.0,,AT DAWN TIME,cab calloway  with his band
76558,76558,406259,469523,Last Time Out,The John Earl Walker Band,0,Hi De Ho,1947.0,,AT DAWN TIME,cab calloway  with his band
76690,76690,461139,91307,Big Boss Man - Original,Jimmy Reed,1960,Franks Place,1987.0,Night Business (#1.17),Big Boss Man,jimmy reed
76700,76700,325624,91307,Big Fine Girl,Wilbur deParis_ Jimmy Witherspoon,1949,Franks Place,1987.0,Night Business (#1.17),Big Boss Man,jimmy reed
76857,76857,120143,374854,When Cats Get Up In the Morning,Old Town School of Folk Music,0,Bowfinger,1999.0,,Wake Up,geoff levin+chris many+arrangement with zomba screen music
76963,76963,960092,558616,Georgia On My Mind,Warner Williams and Jay Summerour,0,Nobel Son,2007.0,,Feed Your Mind (Underworld Mix),paul oakenfold+ian green+clifford magreto+arrangement with warner music group film+tv licensing
76978,76978,676255,558616,Silly Love Songs (Noir & KrusÌ© Extended Mix),Wings_ Paul McCartney,0,Nobel Son,2007.0,,Feed Your Mind (Underworld Mix),paul oakenfold+ian green+clifford magreto+arrangement with warner music group film+tv licensing
76981,76981,439142,558616,Love Is In The Air (Fran Mix),John Paul Young,1997,Nobel Son,2007.0,,Feed Your Mind (Underworld Mix),paul oakenfold+ian green+clifford magreto+arrangement with warner music group film+tv licensing
76997,76997,419460,558616,Tribal Mix by Cheyne Christian,Freedom Williams of CandC Music Factory vs. RMD,0,Nobel Son,2007.0,,Feed Your Mind (Underworld Mix),paul oakenfold+ian green+clifford magreto+arrangement with warner music group film+tv licensing
77107,77107,467841,558616,Peace Of Mind,Paul Revere & The Raiders (featuring Mark Lindsay),2005,Nobel Son,2007.0,,Feed Your Mind (Underworld Mix),paul oakenfold+ian green+clifford magreto+arrangement with warner music group film+tv licensing
77153,77153,399984,189689,Aunque Lo Quieran o No,Jorge Negrete,0,Que te perdone Dios,2015.0,(#1.87),Aunque ahora estÌ©s con el,jorge eduardo murguÌ_a+mauricio arriaga+calibre 50
77171,77171,123596,10714,Weird Science,Danny Byrd,2008,American Dad!,2005.0,Stans Best Friend (#7.14),Weird Science,danny elfman+oingo boingo
77175,77175,902245,713626,Machine Gun,Commodores,1974,Video Games: The Movie,2014.0,,Machine Gun,the commodores
77264,77264,357898,411725,The Rock,T. Graham Brown,0,Descent,2007.0,,Ghetto Rock,mark charles richardson+dante t. smith+yasiin bey
77486,77486,61737,480768,I Turn To You,The John Earl Walker Band,0,Ill Turn to You,1946.0,,Ill Turn to You,john mchugh
77540,77540,303174,458667,With The Old Man In Mind,US Army Field Band Jazz Ambassadors,0,Great Expectations,2012.0,,The Fine Old English Gentleman,charles dickens+the seven dials band
77654,77654,60273,458667,You're So Fine (1990 Digital Remaster),Steve Miller Band,1968,Great Expectations,2012.0,,The Fine Old English Gentleman,charles dickens+the seven dials band
77804,77804,533053,458667,Different Kind Of Fine (Album),Zac Brown Band,2007,Great Expectations,2012.0,,The Fine Old English Gentleman,charles dickens+the seven dials band
77817,77817,615027,458667,Over There - You're a Grand Old Flag - Yankee Doodle Boy,U.S. Air Force Band,0,Great Expectations,2012.0,,The Fine Old English Gentleman,charles dickens+the seven dials band
77852,77852,878809,704091,Treat Her Right,James Ingram,1993,Try Seventeen,2002.0,,Her & Dad,james lincoln freeman+thomas recht+el destroyo+arrangement with ocean park music group
78008,78008,776435,52486,I Want To See The Bright Lights Tonight,Richard Thompson / Linda Thompson,1984,Crossing Jordan,2001.0,Ockhams Razor (#2.10),Shoot Out The Lights,richard thompson
78054,78054,304061,52486,Shoot Out the Lights,Richard Thompson,1988,Crossing Jordan,2001.0,Ockhams Razor (#2.10),Shoot Out The Lights,richard thompson
78079,78079,201945,239214,Theme From Blinking Lights,Eels,2005,The Blacklist,2013.0,Mr. Solomon (No. 32): Conclusion (#3.18),Theme From Blinking Lights,mark oliver everett+the eels
78126,78126,839146,189506,Don't Go,Jim Murple Memorial,0,Quantum Leap,1989.0,The Right Hand of God - October 24  1974 (#1.4),You Dont Mess Around with Jim,jim croce
78194,78194,764688,691600,Don't Be Cruel,Sandy Nelson,2000,The Winning Hand,1985.0,,Dont Let Your Left Hand Know (What Your Right Hand Does),dolly parton+johnny cash+brenda lee+kris kristofferson+willie nelson
78200,78200,635077,691600,Don't Forget Those Forgotten,Nelson Rangell,2005,The Winning Hand,1985.0,,Dont Let Your Left Hand Know (What Your Right Hand Does),dolly parton+johnny cash+brenda lee+kris kristofferson+willie nelson
78204,78204,784876,691600,Just Someone I Used To Know,Porter Wagoner and Dolly Parton,1989,The Winning Hand,1985.0,,Dont Let Your Left Hand Know (What Your Right Hand Does),dolly parton+johnny cash+brenda lee+kris kristofferson+willie nelson
78211,78211,775607,691600,The Right Combination,Porter Wagoner & Dolly Parton,0,The Winning Hand,1985.0,,Dont Let Your Left Hand Know (What Your Right Hand Does),dolly parton+johnny cash+brenda lee+kris kristofferson+willie nelson
78232,78232,876226,600708,Rivet Town Parade,John Powell,2005,Running from the Guns,1987.0,,This Town,elton john
78239,78239,336807,600708,Hot Time In Old Town Tonight,Mississippi John Hurt,0,Running from the Guns,1987.0,,This Town,elton john
78337,78337,778678,600708,Mr. Ghost Goes To Town (1996 Digital Remaster),The John Buzon Trio,0,Running from the Guns,1987.0,,This Town,elton john
78379,78379,266603,600708,Border Town Blues,Long John Hunter,0,Running from the Guns,1987.0,,This Town,elton john
78566,78566,839837,686897,Boogie Twist,Studebaker John & The Hawks,1996,The System,1964.0,,Johnnys Twist,john paris
78891,78891,251822,325817,Flat Line (Intro),Tommy Wright III,0,60s Pop Rock Reunion,2004.0,,Draggin the Line,tommy james+robert king+the shondells
79241,79241,295876,120120,That's Us / Wild Combination,Arthur Russell,2004,Independent Lens,1999.0,How to Survive a Plague (#15.7),Thats Us/Wild Combination,superhuman happiness+arthur russell
79364,79364,462631,415550,Fool on the Hill,John Williams,0,Dinner for Schmucks,2010.0,,The Fool on the Hill,john lennon+paul mccartney+the beatles
79503,79503,667635,612471,Moon River,Henry Mancini & His Orchestra,1961,Shielas Payoff,1977.0,,Moon River,henry mancini
79536,79536,146156,79047,Tainted Love (DJ Rad Remix),Soft Cell,2010,EastEnders,1985.0,(2010-05-12),Tainted Love,ed cobb+soft cell
79555,79555,522472,34013,Bones Theme (DJ Corporate Remix),The Crystal Method,2008,Bones,2005.0,The Bikini in the Soup (#6.14),Bones Theme,the crystal method
79593,79593,795013,255014,Red Match Box,The Lafayette Afro Rock Band,0,The Match Game,1962.0,(#6.14),The MATCH GamE,the score production band
79912,79912,35758,643563,You Should Be Dancing [Live - Las Vegas 1997] (Album Version),Bee Gees,1998,The 70s,2000.0,,You Should Be Dancing,barry gibb+robin gibb+maurice gibb+the bee gees
80398,80398,451164,545580,Ay Dios,Franco De Vita,0,Mosquita y Mari,2012.0,,Don de Dios,marcelo de jesÌ¼s aquino ruiz
80495,80495,461003,155232,Why Wont You,The Rogers Sisters,2006,MisteRogers Neighborhood,1968.0,1011 (#2.11),Wont You Be My Neighbor?,fred rogers
80593,80593,708631,416682,One Thing After Another,David Devant and His Spirit Wife,1999,Disturbed: The Vengeful One,2015.0,,The Vengeful One,david draiman+disturbed+mike wengren
80621,80621,523943,416682,One Fine Day,David Byrne & Brian Eno,2008,Disturbed: The Vengeful One,2015.0,,The Vengeful One,david draiman+disturbed+mike wengren
80702,80702,752152,35175,Fool (If You Think It's Over),Chris Rea,1978,Breaking Bad,2008.0,Blood Money (#5.9),If I Didnt Love You,chris difford+glenn tilbrook+squeeze
80736,80736,465879,53256,Die Jesus-TagebÌ_cher,Johann KÌ¦hnich,0,Curb Your Enthusiasm,2000.0,The Bowtie (#5.2),Die Fledermaus Overture,johann strauss
80767,80767,55100,85971,Heaven Was Made For Everybody,Rick Cua,0,Everybody Loves Raymond,1996.0,The Ride-Along (#2.17),Everybody Loves Raymond Theme,rick marotta+terry trotter
80820,80820,253112,204586,You Can Never Hold Back Spring,Tom Waits,2005,Scream Queens,2015.0,Pilot (#1.1),Hold Me Now,tom bailey+alannah currie+joe leeway+new lyrics by eden xo malakouti+eden xo malakouti
81064,81064,10875,445892,Be Thankful For What You've Got,William DeVaughn,1980,Friday After Next,2002.0,,Got AllAt,william hughes+melvin adams+nappy roots
81188,81188,905861,683218,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,The Sea Gull,1968.0,,Sonata No.25 in G  Op.79,ludwig van beethoven
81342,81342,240896,651324,Who's Afraid Of The Big Bad Wolf,LL Cool J,0,The British Invasion Returns,2000.0,,Bad To Me,john lennon+paul mccartney+billy j. kramer
81418,81418,827478,651324,Bad To Me,Billy J. Kramer,1991,The British Invasion Returns,2000.0,,Bad To Me,john lennon+paul mccartney+billy j. kramer
81457,81457,624307,512706,The End,Nick Moss & The Flip Tops,0,Lawless,2012.0,,End Crawl,nick cave+warren ellis+the bootleggers
81643,81643,782606,5220,The Funeral (Album Version),Band Of Horses,0,90210,2008.0,One Party Can Ruin Your Whole Summer (#1.24),The Funeral,band of horses
81784,81784,212570,5220,The Black Funeral March,Veil Of Maya,2006,90210,2008.0,One Party Can Ruin Your Whole Summer (#1.24),The Funeral,band of horses
82210,82210,950869,489607,Le Roi David : TroisiÌ¬me Partie_ David roi et prophÌ¬te : Marche des HÌ©breux,Charles Dutoit,0,Jacquot de Nantes,1991.0,,Le Roi de Thule,charles gounod+m. carre
82243,82243,86201,363417,The Day I Fall In Love,James Ingram;Dolly Parton,0,Beethovens 2nd,1993.0,,The Day I Fall in Love,carole bayer sager+james ingram+clif magness+dolly parton
82256,82256,961587,653605,Down Fo' The Kick Doe,Killer Mike feat. Gangsta Pill and Nario of Grind Time Rap Gang,0,The Colt Girls,2009.0,,When the Lights Go Down,mike trupp+old skool
82260,82260,452944,653605,I'd Rather Go Blind,Mike Griffin & The Unknown Blues Band,1992,The Colt Girls,2009.0,,When the Lights Go Down,mike trupp+old skool
82302,82302,295711,250182,Jackson,Johnny Cash / June Carter,1967,The Johnny Cash Show,1969.0,(#2.26),Jackson,jerry leiber+billy edd wheeler+johnny cash+june carter cash
82428,82428,563319,255577,A Swingin Safari,Bert Kaempfert And His Orchestra,2003,The Match Game,1962.0,Kitty Carlisle & Milt Kamen (#1.85),A Swingin Safari (The Theme of The Match Game),bert kaempfert
82437,82437,10875,255824,Be Thankful For What You've Got,William DeVaughn,1980,The Mickey Mouse Club,1955.0,(#1.1),What I Want To Be,william lava
82449,82449,654167,255824,Soul I Want,William Topley,0,The Mickey Mouse Club,1955.0,(#1.1),What I Want To Be,william lava
82510,82510,59777,564228,Can't Go On,David Coverdale & Whitesnake,0,Old School,2003.0,,Here I Go Again,david coverdale+bernie marsden+whitesnake
82563,82563,104545,564228,The Bed Was Not My Own/Hello Again (Reprise) (Scene Ten: The Senator and The Whore),David Evans;John Dossett;Judy Blazer;Carolee Carmello;Donna Murphy;Malcolm Gets;John Cameron Mitchell;Michael Park;Dennis Parlato;Michele Pawk;David A. White,0,Old School,2003.0,,Here I Go Again,david coverdale+bernie marsden+whitesnake
82604,82604,556823,726769,Faith To Arise,Terry Reid,1995,Wonderland,2003.0,,Faith to Arise,terry reid
82748,82748,223423,418936,Why Do Lovers Break Each Others Hearts,Bob B Soxx & The Blue Jeans,1991,Dont Ever Tell,2016.0,,Why,blue folkus singers
82825,82825,651190,491583,Let's Get Ready To Rumble,Roscoe Mitchell,0,Jersey Girl,2004.0,,Lets Stay Together,al green+al jackson jr.+willie mitchell
82906,82906,430734,367466,Lost My Connection,Country Joe McDonald,0,Big Stone Gap,2014.0,,Lost Indian,papa joe smiddy
82999,82999,443145,473149,Impromtu No. 2 in A-Flat Major_ Op. 142,Sviatoslav Richter_ Franz Schubert,0,Home Sweet Home,1945.0,,Hungarian Rhapsody No. 2,franz liszt
83296,83296,478468,607821,Faith Of Our Fathers,Mormon Tabernacle Choir,1993,Second Chance,1950.0,,Faith of Our Fathers,h.f. hemy+the cathedral choir of the first presbyterian church of hollywood
83592,83592,448287,177056,A New Life For Gilead,James Horner,1996,Pan Am,2011.0,New Frontiers (#1.12),Fast Life,dianne james
83596,83596,838741,177056,Life Goes On (Demo version),Wendy James,0,Pan Am,2011.0,New Frontiers (#1.12),Fast Life,dianne james
83678,83678,671826,99222,Alfie,Kenny G featuring Burt Bacharach,0,Glee,2009.0,What the World Needs Now (#6.6),Alfie,burt bacharach+hal david+naya rivera
83926,83926,299643,249288,Maya Gold,Mike Oldfield,1992,The Interior,2007.0,,The Gold You Seek,mike ator+edwin wendler+alluvial soil
84001,84001,120143,520049,When Cats Get Up In the Morning,Old Town School of Folk Music,0,Little Fockers,2010.0,,Beautiful Morning,edward brigati+felix cavaliere+the rascals+arrangement with warner music group film+tv licensing
84016,84016,405830,520049,Beautiful Eyes,The Aluminum Group,2008,Little Fockers,2010.0,,Beautiful Morning,edward brigati+felix cavaliere+the rascals+arrangement with warner music group film+tv licensing
84103,84103,814989,198525,Mi Vida Loca (My Crazy Life),Pam Tillis,1994,RuPauls Drag Race,2009.0,Dragazines (#4.7),Mi Vida Loca (My Crazy Life),jess leary+pam tillis
84165,84165,81713,685796,My Music (Re-Mix),Tyrone Taylor,0,The Stateless Man,1955.0,,Accordion Music,richard taylor
84207,84207,251347,510186,I Think I'm In Love,Daniel Merriweather,2009,Lady Magdalenes,2008.0,,I Will Think of You,daniel may+dewey erney
84273,84273,6866,363167,Two Tickets To Paradise,Eddie Money,1977,Bee Season,2005.0,,Two Tickets to Paradise,eddie money
84285,84285,415653,226647,Silent Running (Live),Mike And The Mechanics,1999,Stingray,1985.0,Ancient Eyes (#1.1),Silent Running,mike+the mechanics
84627,84627,480562,668526,Deeper Shade of Blue,Walter Trout,0,The Lady Consents,1936.0,,My Blue Heaven,walter donaldson
84635,84635,558229,668526,Turn Your Eyes To heaven,Walter Trout,2008,The Lady Consents,1936.0,,My Blue Heaven,walter donaldson
84642,84642,318073,668526,Little Boy Blue,Walter Horton,1989,The Lady Consents,1936.0,,My Blue Heaven,walter donaldson
84692,84692,185559,679936,Symphony No. 7 In C Sharp Minor_ Op. 131: 4. Vivace,Leif Ove Andsnes & Bergen Philharmonic Orchestra,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84693,84693,435194,679936,Concerto in D major_ Op. 7 No. 6: II. Adagio,Philharmonia Orchestra,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84694,84694,336201,679936,Piano Concerto No. 3 In C Major_ Op. 26: 2. Theme And Variations,Leif Ove Andsnes & Bergen Philharmonic Orchestra,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84700,84700,67558,679936,Concerto No. 2 in C Minor for Piano and Orchestra_ Op. 18: II. Adagio sostenuto,Saint Louis Symphony Orchestra,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84714,84714,345836,679936,What Can I Say After I Say I'm Sorry?,Dinah Shore & Harry Zimmerman Orchestra,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84724,84724,844100,679936,Symphony No. 5 in C-Sharp Minor: IV. Adagietto,Gustav Mahler_ Moscow RTV Large Symphony Orchestra Kyril Kondrashin_ Various Artist,1987,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84815,84815,164251,679936,Symphony No. 4 Op. 98 In E Minor: Allegro Giacoso,The London Fox Orchestra,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84816,84816,177821,679936,Symphony No. 1 In C Minor Op. 68: Un Poco Allegretto e Grazioso,The London Fox Orchestra,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84818,84818,808397,679936,Concerto No. 25 in C Major for Piano and Orchestra_ K. 503/II. Andante,Murray Perahia;English Chamber Orchestra,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84820,84820,629905,679936,Four Seasons Concerto No. 4 In F Minor - Winter: Allegro,The London Fox Orchestra,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84850,84850,710754,679936,Money Can'T Buy Me Love,The Lullaby Orchestra,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84859,84859,842212,679936,Symphony No. 6 in C major_ D589: First movement: Adagio - Allegretto,Sir Thomas Beecham/Royal Philharmonic Orchestra,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
84951,84951,269501,679936,Organ Concerto No. 13 in F Major - 'The Cuckoo and the Nightengale': IV. Larghetto,London Philharmonic Orchestra_ Sir Adrian Boult_ Edward Power Biggs,0,The Public Eye,1992.0,,You Cant Say No to a Soldier,harry warren+sammy kaye+his orchestra
85341,85341,96185,321478,Wish The World Away,American Music Club,1994,World of the Animal Kingdom,2014.0,Reptiles (#1.4),World of the Animal Kingdom,conor otoole+no monster club
85478,85478,753265,621085,Trio C-Moll fÌ_r Flauto Traverso Violine_ Violoncello und Cembalo aus dem 'Musikalischen Opfer' BWV 1,Johann Sebastian Bach,0,Sokkotanssi,1999.0,,Geschichten aus dem Wienerwald,johann strauss
85743,85743,652902,693583,September When It Comes,Rosanne Cash Featuring Johnny Cash,2000,They All Laughed,1981.0,,IT COMES AND GOES,johnny cash
85888,85888,497486,321728,Wo willst du hin?,Xavier Naidoo,2002,X Factor,2010.0,8. Live Show (#1.14),Wo willst du hin,xavier naidoo+michael herberger+edita abdieski
86011,86011,699082,184103,I Can't Stand Being Alone,Maurice John Vaughn,0,PokÌ©mon,1998.0,Gotta Get a Gible! (#12.52),Battle Cry - (Stand Up!),john loeffler+manny corallo+erin bowman
86117,86117,920036,184103,Made Up My Mind,John Mooney,0,PokÌ©mon,1998.0,Gotta Get a Gible! (#12.52),Battle Cry - (Stand Up!),john loeffler+manny corallo+erin bowman
86138,86138,543785,184103,Did You Ever Have To Make Up Your Mind [Live],John Sebastian,0,PokÌ©mon,1998.0,Gotta Get a Gible! (#12.52),Battle Cry - (Stand Up!),john loeffler+manny corallo+erin bowman
86241,86241,221289,353296,Pure Imagination,Monty Alexander,0,Art School Confidential,2006.0,,Pure Imagination,anthony newley+leslie bricusse+monty alexander
86307,86307,713865,324823,Shut Up and Leave Me Alone,The Michael Stanley Band,0,iCarly,2007.0,iTake on Dingo (#2.17),Leave It All to Me,michael corcoran+miranda cosgrove+drake bell
86401,86401,215284,627784,Jingle Bells (Album Version),Boney James,0,Stalag 17,1953.0,,Jingle Bells,james pierpont
86446,86446,699082,390081,I Can't Stand Being Alone,Maurice John Vaughn,0,Chicago,2002.0,,I Cant Do It Alone,john kander+catherine zeta-jones
86459,86459,89865,390081,I Can't Dance To Your Music,John Farnham,1995,Chicago,2002.0,,I Cant Do It Alone,john kander+catherine zeta-jones
86484,86484,242056,390081,How Do You Sleep? (Instrumental Score),John Lennon And The Plastic Ono Band (With The Flux Fiddlers),0,Chicago,2002.0,,I Cant Do It Alone,john kander+catherine zeta-jones
86570,86570,761086,390081,Honest I Do,John Hammond,0,Chicago,2002.0,,I Cant Do It Alone,john kander+catherine zeta-jones
86683,86683,795013,255385,Red Match Box,The Lafayette Afro Rock Band,0,The Match Game,1962.0,(#7.92),The MATCH GamE,the score production band
86993,86993,117233,35021,I Think I Love You,David Cassidy & The Partridge Family,0,BrainDead,2016.0,Notes Toward a Post-Reagan Theory of Party Alliance  Tribalist  and Loyalty: Past as Prologue (#1.6),I Think I Love You,david cassidy+the partridge family
87346,87346,180696,430074,The Ballad Of El Goodo,Evan Dando,1995,Empire Records,1995.0,,The Ballad of El Goodo,evan dando+chris bell+alex chilton
87353,87353,879668,640246,Ese Soy Yo,Yaga_ Mackie_ Maicol_ Manuel,2002,Tatuaje,1999.0,,Te lo juro yo,manuel l. quiroga+rosario flores
87377,87377,759656,125684,Big Trouble,Robert Palmer,1994,Justified,2010.0,Guy Walks Into a Bar (#3.10),Big Dog Blues,robert j. walsh
87383,87383,547839,125684,Mississippi Heavy Water Blues,Robert Pete Williams & Robert Guitar' J. Welch,0,Justified,2010.0,Guy Walks Into a Bar (#3.10),Big Dog Blues,robert j. walsh
87391,87391,838655,125684,Travelling Riverside Blues,Robert Johnson,0,Justified,2010.0,Guy Walks Into a Bar (#3.10),Big Dog Blues,robert j. walsh
87399,87399,240896,125684,Who's Afraid Of The Big Bad Wolf,LL Cool J,0,Justified,2010.0,Guy Walks Into a Bar (#3.10),Big Dog Blues,robert j. walsh
87435,87435,729799,125684,Ugly Man Blues,Robert Pete Williams,1993,Justified,2010.0,Guy Walks Into a Bar (#3.10),Big Dog Blues,robert j. walsh
87445,87445,524188,125684,Cross Road Blues,Robert Johnson,0,Justified,2010.0,Guy Walks Into a Bar (#3.10),Big Dog Blues,robert j. walsh
87499,87499,229359,726174,Farewell Party,Alan Jackson,1999,Witness,1985.0,,PARTY DOWN,alan brackett+scott shelly
87623,87623,784641,466822,Things Can Only Get Better,Howard Jones,0,Heat Vision and Jack,1999.0,,If I Only Knew,tom jones
87630,87630,897703,466822,Only In America,Tom Fuller Band,0,Heat Vision and Jack,1999.0,,If I Only Knew,tom jones
87828,87828,9587,245399,Touch Me (I Want Your Body) ?09,Samantha Fox,1992,The Frank Skinner Show,1995.0,(#4.7),Touch Me (I Want Your Body),samantha fox
87831,87831,94767,245399,Say What You Want,Sam Fox,1997,The Frank Skinner Show,1995.0,(#4.7),Touch Me (I Want Your Body),samantha fox
88014,88014,324047,215844,La Voz Del Caribe,Eddie Palmieri,2003,So You Think You Can Dance Canada,2008.0,Top 12 Performance (#3.17),La Voz del Caribe,eddie palmieri
88072,88072,409944,239877,I'Ll Do It Again,Jack Radics,0,The Bold and the Beautiful,1987.0,(#1.4225),Going Back Again,jack wagner
88102,88102,702210,149488,Love Is All Around (The Mary Tyler Moor Show Theme),Sonny Curtis,0,Mary Tyler Moore,1970.0,The Courtship of Marys Fathers Daughter (#3.15),Love Is All Around,sonny curtis
88262,88262,193191,557597,A Midsummer Night's Dream Op.61 : Act 2  Intermezzo,Kurt Masur,0,Nirvana Live! Tonight! Sold Out!!,1994.0,,Lounge Act,kurt cobain+nirvana
88560,88560,336694,670172,I Am The Bread Of Life (Songs For Worship_ Vol. 1 & 2 Album Version),John Michael Talbot,0,The Life,2011.0,,This Life,richard john reliford+taylore reliford
