Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
2061,2061,771295,562650,Let Freedom Ring,Bill Whelan / Tsidii Le Loka / Eoghan O'Neill / Des Moore / Noel Heraty / Robbie Harris / The Amanzi Singers,2000,Oasis: Whats Your Story?,2010,,Let There Be Love,noel gallagher oasis,0
2117,2117,790750,656160,Blessing Medley,VIP Mass Choir featuring John P. Kee,0,The Devil and Daniel Mouse,1978,,Concert Medley,john sebastian laurel runn,0
2131,2131,793528,650019,The Power of Midnight,Jeff Kashiwa,0,The Bling Ring,2013,,Power,boris bergman franÌÄÕÌâå_ois bernheim jeff bhasker mike dean jean-pierre lang robert fripp michael giles larry darnell griffin jr. malik yusef el shabbaz jones greg lake ian mcdonald nathan perez pete sinfield kanye west king crimson cold grits arrangement with warner music group film tv licensing,0
2138,2138,795013,255014,Red Match Box,The Lafayette Afro Rock Band,0,The Match Game,1962,(#6.14),The MATCH GamE,the score production band,0
2193,2193,815775,367942,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Bill W.,2012,,Unaccompanied Cello Suite No. 5 in C Minor  BWV 1011- Allemande,johann sebastian bach yo-yo ma arrangement with sony music licensing,0
2211,2211,819679,86867,Blue Skies,The Glenn Miller Orchestra,1996,Falling Skies,2011,Search and Recover (#3.5),Falling Skies (Credits Theme from TV Series),falling skies orchestra,0
2218,2218,821632,577016,Make A Joyful Noise (LP Version),Jesse Davis,0,Ping Pong Playa,2007,,Make Noise,lalo davis of five stone five stone,0
2256,2256,836678,322402,Mr. Blue Sky - Live,Electric Light Orchestra (ELO),0,You Bet Your Life,1950,(#2.30),Blue Skies,irving berlin television orchestra under the leadership of buddy collette,0
2266,2266,839528,237479,Dust Down A Country Road,John Hiatt,1995,The Beatles,1965,Im Down/Run for Your Life (#2.3),Im Down,john lennon paul mccartney the beatles,0
2267,2267,839528,473156,Dust Down A Country Road,John Hiatt,1995,Home Sweet Home,2012,,Down To The Wire,j. palmer john courage bill palmer ephriam nagler,0
2271,2271,840223,658665,Epigraph No. 1_ Var. 1,Ketil BjÌÎÌ_rnstad_ David Darling,2000,The Exorcist,1973,,Study No. 1,david borden,0
2279,2279,844100,159505,Symphony No. 5 in C-Sharp Minor: IV. Adagietto,Gustav Mahler_ Moscow RTV Large Symphony Orchestra Kyril Kondrashin_ Various Artist,1987,Mozart in the Jungle,2014,Stern Papa (#2.1),Symphony No. 1 In D Major Titan: III. Feierlich Und Gemessen,gustav mahler lelie resnick,0
2291,2291,849262,505361,Soleil dans les bouchons,Marcel Et Son Orchestre,2003,LannÌÄÕÌâå©e sainte,1976,,Fuite Dans Tanger,claude bolling  et son orchestre,0
2295,2295,850150,712909,I'm Just A Dreamer,Mark Medlock,2007,VerfÌÄÕ_hrung fÌÄÕ_r AnfÌÄÕ_nger,2005,,Just For You,lionel richie paul barry mark taylor,0
2311,2311,856978,724908,Sideshow Blues,Yonder Mountain String Band,2008,Wildlike,2014,,Cowford Blues,john middleton the knotty pines band,0
2337,2337,864973,216299,I Got You - Original Live,James Brown and The Soul G's,0,So You Think You Can Dance,2005,1 of 11 Voted Off (#7.7),I Got the Feelin,james brown,0
2356,2356,868875,423041,Girls Just Wanna Have Fun,Norman Palm,0,Duets,2000,,Just My Imagination (Running Away With Me),norman whitfield barrett strong kenneth babyface edmonds gwyneth paltrow,0
2359,2359,869082,400330,Golden Years (1999 Digital Remaster),David Bowie,1976,Creating a Fairy Tale World: The Making of Shrek,2001,,BEST YEARS OF OUR LIVES,david jaymes geoffrey deane baha me,0
2375,2375,872527,279110,Man on,Alan Moorhouse Band,0,The Tonight Show with Jay Leno,1992,(#21.113),Soul Man,isaac hayes david porter the tonight show band,0
2391,2391,876848,10245,The Witch Doctor,David Seville & Orchestra with The Chipmunks,0,Alvin & the Chipmunks,1983,,Witch Doctor,ross bagdasarian the chipmunks,0
2392,2392,876976,476410,Do You Love Me?,Wayne Wonder,0,How to Deal,2003,,Do You Realize?,wayne coyne s. drozd m. ivins d. fridmann the flaming lips arrangement with warner strategic marketing,0
2397,2397,877260,374411,The Christmas Song,Warren Hill,0,Boskos Picture Show,1933,,The Gold Diggers Song (Were in the Money),harry warren,0
2403,2403,877546,330507,Dream Lover,Bobby Rydell,1993,61*,2001,,Dream Lover,bobby darin arrangement with warner special products,0
2405,2405,877546,670443,Dream Lover,Bobby Rydell,1993,The Likes of Louise,1974,,Dream Lover,bobby darin,0
2410,2410,878334,519195,Sista O Dissey,Till Von Sein,0,Lilja 4-ever,2002,,O Virtius Sapientie,hildegard von bingen flÌÄÕ_skkvartetten,0
2422,2422,881449,137687,Night People,John Cooper Clarke,1982,Levenslied,2011,(#2.2),Good Night,john lennon paul mccartney tijn docter hans dagelet choir,0
2428,2428,882827,273169,When Morning Comes,VIP Mass Choir featuring John P. Kee,0,The Tonight Show Starring Jimmy Fallon,2014,Josh Brolin/Kate McKinnon/Billy Ocean (#3.85),When the Going Gets Tough  the Tough Get Going,billy ocean robert john lange wayne brathwaite barry eastmond jimmy fallon,0
2431,2431,883485,532493,Golden Days,Jason & The Scorchers,0,Management,2008,,Hangover Days,jason collett,0
2442,2442,886750,472861,These Foolish Things,Dinah Shore_ Harry Zimmerman Orchestra,0,Hollywoodland,2006,,Scuse These Blues,quincy jones the arturo ofarrill orchestra,0
2504,2504,905109,363111,Just Want To Love You Tonight ,Average White Band,2009,Bedtime with Barney: Imagination Island,1994,,Just Imagine (Reprise),philip a. parker stephen white bob west hope cervantes pia manalo john david bennett ricky carter barry pearl julie johnson patty wirtz,0
2515,2515,905861,619607,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,Smile,2010,,Adagio Sostenuto,ludwig van beethoven,0
2523,2523,906406,188886,Oh Pretty Woman,Steve Cropper,1971,Punklandia,2008,Vaatteet on mun aatteet (#1.1),Pretty Vacant,steve jones glen matlock paul cook john lydon the sex pistols,0
2545,2545,914606,582347,Three Blind Mice,Larry Groce/Disneyland Children's Sing-Along Chorus,0,Presenting Lily Mars,1943,,Three OClock in the Morning,juliÌÄÕÌÄån robledo judy garland charles walters chorus in the finale,0
2548,2548,916797,450807,Get On Up (Clean LP Version),Trick Daddy (Featuring The Lost Tribe_ Money Mark Of Tre +6 and JV),0,Get Rich or Die Tryin,2005,,Get Rich Opening Logos,sha money x.l. derek prosper kenyatta beasley,0
2568,2568,921382,366023,Beautiful Girl,Mark Sultan,2007,Beverly Hills Chihuahua,2008,,Rich Girl,mark batson jerry bock kara dioguardi gwen stefani eve,0
2579,2579,924091,525144,Il Barbiere Di Siviglia: Dunque io son,Philharmonia Orchestra And Chorus_ Maria Callas_ Luigi Alva_ Tito Gobbi,0,Love Me Forever,1935,,Il bacio,luigi arditi,0
2600,2600,928087,702938,Do You Feel Like We Do (Live),Peter Frampton,2003,Triple 9,2016,,Lets Do It,peter held daniel pollard heroes x villains,0
2607,2607,928450,695853,I'm Old Fashioned,Stacey Kent,0,Three Little Sisters,1944,,Little Old Fashioned Looking Glass,walter kent,0
2616,2616,930439,524522,I'm No Fool_ I Know The Rule (If You Love Me Like You Say),Smokey Wilson,0,Love & Mercy,2014,,Caroline  No,brian wilson tony asher the beach boys,0
2623,2623,931612,21643,If You See Me Comin',Arty Hill and the Long Gone Daddys,0,Ballers,2015,Flamingos (#1.10),If I Ruled the World,nas jean claude olivier kurtis walker blow samuel barnes lauryn hill,0
2639,2639,935081,613621,I Like My Old Home Town,Sir Harry Lauder,0,Show Business,1944,,I Want a Girl (Just Like the Girl That Married Dear Old Dad),harry von tilzer eddie cantor george murphy constance moore joan davis,0
2648,2648,937335,533814,La Luna,Steve Roach & Robert Rich,0,Marilyn Hotchkiss Ballroom Dancing & Charm School,2005,,Bella Luna,robert j. walsh,0
2661,2661,940892,542611,Killing Floor,The Electric Flag-An American Music Band;Michael Bloomfield,0,Mississippi Grind,2015,,Floor To Crawl,james hand arrangement with concord music group inc.,0
2680,2680,946728,278075,What It Is,Dave Weckl Band,2005,The Tonight Show with Jay Leno,1992,(#20.12),What I Like About You,wally palmar mike skill james marinos the tonight show band,0
2685,2685,947910,651972,Piano Concerto No. 2: III_ Allegro scherzando,Sergei Rachmaninov,0,The Byron Janis Story,2010,,Piano Concerto #3 in D-Minor,sergei rachmaninoff byron janis,0
2703,2703,952960,12832,What A Friend,George Nooks,0,American Masters,1985,Satchmo: The Life of Louis Armstrong (#4.3),What a Wonderful World,bob thiele george david weiss,0
2715,2715,954569,30985,Big Booty Hoes (Featuring Too $hort) (Album Version),The Notorious B.I.G.,1999,Big Time Rush,2009,Big Time Pranks 2 (#4.7),Big Time Rush,big time rush,0
7,7,4202,541635,The Land Of Rape And Honey (Album Version),Ministry,0,Ministry: Tapes of Wrath,2000,,The Land of Rape & Honey (Live),ministry,1
14,14,6139,694050,Things Behind The Sun,Nick Drake,1972,Things Behind the Sun,2001,,Things Behind the Sun,nick drake,1
55,55,21087,177091,Break It To Me Gently,Brenda Lee,1987,Pan Am,2011,Truth or Dare (#1.7),Break It to Me Gently,brenda lee,1
121,121,50937,9858,Falling In Love (LP Version),Randy Newman,1988,Ally McBeal,1997,Ally McBeal: The Musical  Almost (#3.21),Falling In Love,randy newman vonda shepard,1
171,171,70050,501209,View From A Bridge (Raw Remix) (Edit),Kim Wilde,1987,Kim Wilde: The Video Music Collection,1984,,View From A Bridge,kim wilde,1
173,173,71124,567201,Cattle Call,Tex Ritter,2004,Opry Video Classics: Pioneers,2007,,Cattle Call,tex owens eddy arnold,1
181,181,75922,210178,Thou Shalt Not Steal (Album Version),Dick & Dee Dee,0,Shindig!,1964,(#1.19),Thou Shalt Not Steal,dick dee dee,1
188,188,79018,404213,Night Boat To Cairo,Madness,1979,Dance Craze,1981,,Night Boat to Cairo,madness,1
257,257,105630,378709,Born In The U.S.A.,Bruce Springsteen & The E Street Band,1984,Bruce Springsteen: Born in the U.S.A.,1984,,Born In U.S.A.,bruce springsteen the e street band,1
270,270,115029,98198,Sexx Laws,Beck,1999,Glastonbury 2016,2016,Day 3  Part 2 (#1.15),Sexx Laws,beck,1
296,296,126904,697536,As Hard As It Is,Fine Young Cannibals,1988,Tin Men,1987,,Hard as It Is,david steele fine young cannibals,1
297,297,127132,30124,Wicked Game (Remastered Album Version),Chris Isaak,2006,Beverly Hills  90210,1990,One Man and a Baby (#1.11),Wicked Game,chris isaak,1
300,300,130470,461356,Blue Jeans Blues [Remastered Album Version],ZZ Top,0,Gzaabneulni,2013,,Blue Jean Blues,billy gibbons frank beard dusty hill zz top,1
310,310,137233,357788,Big Takeover (1991 Digital Remaster),Bad Brains,1983,Bad Brains Live at CBGB OMFUG 1982,2006,,Big Takeover,bad brains,1
318,318,139142,492346,Georgia On My Mind,Hoagy Carmichael / The Buddy Cole Quartet,1956,Jimmy the C,1977,,Georgia on My Mind,hoagy carmichael stuart gorrell ray charles,1
325,325,141182,687427,Send Me on My Way,Rusted Root,1992,The Theory of Flight,1998,,Send Me on My Way,michael glabicki jim donovan jenn wertz liz berlin rusted root,1
344,344,148476,206167,Demons,Fatboy Slim,2000,Sense8,2015,Demons (#1.6),Demons,fatboy slim macy gray bill withers fatboy slim  ),1
359,359,153652,263189,Manhattan Minuet,Raymond Scott,1992,The Ren & Stimpy Show,1991,A Visit to Anthony (#2.11),Manhattan Minuet,raymond scott,1
362,362,153694,599923,Sink Into The Frame Of The Portrait,Dream Warriors,1994,Rude,1995,,Sink Into the Frame of the Portrait,the dream warriors,1
377,377,158767,693106,Blue Monk,Miles Davis & Thelonious Monk,0,Thelonious Monk: Straight  No Chaser,1988,,Blue Monk,thelonious monk,1
433,433,187047,50697,Living For The City,Stevie Wonder,1973,Countdown,1974,(#1.7),Living for the City,stevie wonder,1
439,439,188836,47302,Age Of Consent,New Order,1983,Cold Case,2003,Chinatown (#7.8),Age of Consent,bernard sumner peter hook stephen morris gillian gilbert new order,1
443,443,189571,298433,Dinner With Gershwin,Brenda Russell,0,Top of the Pops 2,1994,Donna Summer,Dinner with Gershwin,brenda russell donna summer,1
448,448,190618,517935,Get Outta My Dreams_ Get Into My Car,Billy Ocean,1988,License to Drive,1988,,GET OUTTA MY DREAMS  GET INTO MY CAR,robert john lange billy ocean,1
453,453,195132,464584,Sophisticated Lady,Rosemary Clooney / Duke Ellington And His Orchestra,1956,Harlem Nights,1989,,Sophisticated Lady,duke ellington,1
456,456,195356,676791,Let it Snow!,Dean Martin,0,The Oranges,2011,,Let it Snow! Let it Snow! Let it Snow!,sammy cahn jule styne dean martin,1
463,463,200397,406518,Arnold Layne,David Gilmour Featuring David Bowie,2006,David Gilmour Remember That Night,2007,,Arnold Layne,syd barrett david gilmour david bowie,1
468,468,202814,388817,Wild Thing,Tone Loc,1988,Charlies Angels: Full Throttle,2003,,Wild Thing,matt dike marvin young anthony smith tone loc,1
487,487,213947,41195,El Mono Relojero,Kapanga,1998,Campeones de la vida,1999,(#1.2),El mono relojero,kapanga,1
520,520,224966,39120,The Climb,Miley Cyrus,2009,CMT Top 20 Countdown,2001,(2009-03-20),The Climb,miley cyrus,1
528,528,227819,301842,Tom Sawyer,Rush,0,Top of the Pops,1964,(1981-11-05),Tom Sawyer,rush,1
534,534,229315,552922,All Day And All Of The Night,Ray Davies,0,Narco,2004,,All Day and All of the Night,ray davies the kinks,1
540,540,231113,699472,Banned In DC,Bad Brains,1991,Tony Hawks Proving Ground,2007,,Banned in DC,bad brains paul h.r. hudson gary dr. know miller darryl jenifer,1
567,567,242056,483173,How Do You Sleep? (Instrumental Score),John Lennon And The Plastic Ono Band (With The Flux Fiddlers),0,Imagine: John Lennon,1988,,How Do You Sleep?,john lennon,1
592,592,247363,599874,One Day At A Time,Willie Nelson,1965,Ruckus,1980,,ONE DAY AT A TIME,willie nelson hank cochran janie fricke,1
596,596,248698,728818,Tong Poo,Ryuichi Sakamoto,0,Yellow Magic Orchestra Live at NHK,2011,,TONG POO,ryuichi sakamoto,1
598,598,249271,427174,Esta Noche,JosÌÎå© Alfredo Jimenez Con Mariachi Vargas De Tecalitlan,0,El fronterizo,1952,,Esta Noche,josÌÄÕÌâå© alfredo jimÌÄÕÌâå©nez,1
641,641,265969,167579,Verano fatal,Nacho Vegas & Christina Rosenvinge,2007,No disparen al pianista,2007,(#1.9),Verano fatal,christina rosenvinge nacho vegas,1
652,652,269791,191369,Whole Lotta Love (2007 Remastered LP Version),Led Zeppelin,2007,Rage,1987,(2005-01-29),Whole Lotta Love,jimmy page robert plant john paul jones john bonham led zeppelin,1
657,657,271395,179052,He Ain't Heavy He's My Brother (1998 Digital Remaster),The Hollies,0,Pasila,2007,Veli (#2.10),He Aint Heavy  Hes My Brother,bob russell bobby scott the hollies,1
660,660,273471,102854,Everybody Loves You,Jenn Grant,0,Greys Anatomy,2005,Hook  Line and Sinner (#6.20),Everybody Loves You,jenn grant,1
677,677,278875,504829,Burning Up (Showgirl Tour - Live In Sydney),Kylie Minogue,0,Kylie Minogue: Kylie Fever 2002 in Concert - Live in Manchester,2002,,Burning Up,greg fitzgerald tom nichols kylie minogue,1
694,694,286196,103303,Gotta Figure This Out,Erin McCarley,2009,Greys Anatomy,2005,Rise Up (#5.7),Gotta Figure This Out,erin mccarley,1
718,718,295876,120120,That's Us / Wild Combination,Arthur Russell,2004,Independent Lens,1999,How to Survive a Plague (#15.7),Thats Us/Wild Combination,superhuman happiness arthur russell,1
781,781,318137,269502,I'm Gonna Love You (Soundtrack Version),Sonny & Cher,0,The Sonny and Cher Show,1976,(#1.8),Im Gonna Make You Love Me / My World Is Empty Without You,kenny gamble jerry ross also co-attributed to jerry williams leon huff  / brian holland lamont dozier eddie holland sonny bono cher,1
794,794,324382,699579,Indolence,SolAce,0,Tony Hawks Underground,2003,,Indolence,solace,1
795,795,325161,78751,The Road To Hell,Chris Rea,1990,EastEnders,1985,(2001-11-09),The Road to Hell,chris rea,1
810,810,325655,173972,The Good Kind [Live],The Wreckers,2007,One Tree Hill,2003,The Tide That Left and Never Came Back (#2.22),The Good Kind,the wreckers,1
856,856,340989,303359,We Will Rock You (Live),Queen + Paul Rodgers,0,Top of the Pops,1964,(2000-07-07),We Will Rock You,five   queen,1
877,877,349983,123504,Nothin' But A Heartache (LP Version),The Doobie Brothers,1977,James at 15,1977,Listless Fever (#1.14),Nothin But a Heartache,the doobie brothers,1
885,885,351640,443622,White Christmas,Bing Crosby,1942,Four Christmases,2008,,White Christmas,irving berlin bing crosby,1
912,912,359921,325454,How Could An Angel Break My Heart,Kenny G with Toni Braxton,1997,ÌÄÕÌâådolos,2003,Gala 1 - Meu ÌÄÕÌâådolo (#1.9),How Could An Angel Break My Heart,toni braxton kenneth babyface edmonds dÌÄÕÌâå©bora gonÌÄÕÌâå_alves,1
917,917,362772,303706,You'll Be Sorry,Steps,2000,Top of the Pops,1964,(2001-06-15),Youll Be Sorry,steps,1
936,936,367631,376069,Atomic Dog (Dogs Of The World Unite Remix) (Explicit) (Feat. Coolio),George Clinton Featuring Coolio,1996,Breakin All the Rules,2004,,Atomic Dog,george clinton   (as george clinton jr.) garry m. shider david l. spradley george clinton,1
937,937,367631,378687,Atomic Dog (Dogs Of The World Unite Remix) (Explicit) (Feat. Coolio),George Clinton Featuring Coolio,1996,Bruce Almighty,2003,,Atomic Dog,george clinton garry m. shider david l. spradley,1
962,962,376551,676626,Papercut (Live In Texas),Linkin Park,2003,The One,2001,,Papercut,chester bennington linkin park,1
970,970,378203,451975,Desire To Fire (Album Version),Machine Head,0,Ginger Snaps,2000,,Desire To Fire,robb flynn machine head,1
975,975,379551,356243,Saturday Night Fish Fry - Parts 1 & 2 (Digitally Remastered),Louis Jordan & His Tympany Five,0,B.B. King: The Life of Riley,2012,,Saturday Night Fish Fry,louis jordan ellis lawrence walsh,1
976,976,379561,247463,Empire In My Mind,The Wallflowers,2002,The Guardian,2001,,The Empire In My Mind,jakob dylan the wallflowers,1
981,981,382766,430724,Hey Ma,Cam'Ron / Juelz Santana / Freekey Zeekey / Toya,2003,End of Watch,2012,,Hey Ma,camron juelz santana darryl pittman lionel richie freekey zeekey toya,1
1024,1024,397563,281533,Thinking Of You,Katy Perry,2008,The Vampire Diaries,2009,Pilot (#1.1),Thinking of You,katy perry,1
1067,1067,413893,468395,IPT2,Battles,2004,Helvetica,2007,,IPT2,battles,1
1073,1073,415535,305154,Let Forever Be (2003 Digital Remaster),The Chemical Brothers,2008,Tricked,2013,(#2.2),Let Forever Be,the chemical brothers noel gallagher,1
1077,1077,417190,417994,If I Could Only Stay Asleep,Patsy Cline,1991,Doing Time for Patsy Cline,1997,,If I Could Only Stay Asleep,ethel bassey wayland chandler patsy cline,1
1111,1111,428401,298566,Itchycoo Park,The Small Faces,1967,Top of the Pops,1964,(1976-01-08),Itchycoo Park,steve marriott ronnie lane small faces,1
1133,1133,441070,301940,Physical (Live At The Sydney Opera House),Olivia Newton-John,0,Top of the Pops,1964,(1982-12-30),Physical,steve kipner terry shaddick olivia newton-john,1
1145,1145,446978,383785,Unchained Melody,Righteous Brothers,1965,Canary Brothers of Tondo,1992,,Unchained Melody,alex north the righteous brothers,1
1150,1150,448492,246525,The Stroke (Live) (24-Bit Digitally Remastered 05),Billy Squier,2005,The Good Guys,2010,Pilot (#1.1),The Stroke,billy squier,1
1159,1159,453218,65463,Saia Indiscreta,FilarmÌÎ_nica Gil,0,Deixa-me Amar,2007,(#1.14),Saia indiscreta,filarmÌÄÕ_nica gil,1
1168,1168,455409,96714,Warm Whispers [XM Session],Missy Higgins,0,Ghost Whisperer,2005,Greek Tragedy (#4.15),Warm Whispers,missy higgins,1
1179,1179,457567,422078,Pure Love,Ronnie Milsap,1974,Drive-In,1976,,Pure Love,eddie rabbitt ronnie milsap,1
1215,1215,462385,83854,Superhero,Jane's Addiction,2003,Entourage,2004,The Young and the Stoned (#4.9),Superhero,janes addiction,1
1240,1240,470933,403042,I Ran (So Far Away) (Die Krupps Remix),A Flock Of Seagulls,2004,Da Kath & Kim Code,2005,,I Ran (So Far Away),frank maudsley paul reynolds ali score michael score a flock of seagulls,1
1249,1249,473741,188886,Pretty Vacant (Live),Sex Pistols,1991,Punklandia,2008,Vaatteet on mun aatteet (#1.1),Pretty Vacant,steve jones glen matlock paul cook john lydon the sex pistols,1
1274,1274,483982,160906,Jenny From The Block,Jennifer Lopez,2002,Music Nuggets,2010,(2011-06-11),Jenny From The Block,jennifer lopez,1
1288,1288,489982,584805,Wave Of Mutilation,Frank Black Francis,0,Pump Up the Volume,1990,,Wave of Mutilation (U.K. Surf),frank black pixies,1
1342,1342,506516,221005,Girls On Film (BBC Radio 1 Peter Powell Session (Recorded 19th June 1981_ Transmitted 11th August 1981)),Duran Duran,1981,Speed Grapher,2005,Okanekudasai (#1.22),Girls on Film,duran duran,1
1355,1355,509771,25961,You Don't Just Want To Break Me,Hawksley Workman,0,Being Human,2011,Wouldnt It Be Nice (If We Were Human) (#1.4),You Dont Just Want To Break Me (You Want To Tear Me Apart),hawksley workman,1
1388,1388,529200,634323,Remedy,Seether,2005,Summerslam,2005,,Remedy,seether,1
1394,1394,532005,142074,These Arms Of Mine [Live Europe Version],Otis Redding,1967,Lost,2004,S.O.S. (#2.19),These Arms of Mine,otis redding,1
1403,1403,536048,311158,FotografÌÎ_a,Juanes / Nelly Furtado,0,Velo de novia,2003,Velo de novia (#1.1),FotografÌÄÕ_a,juanes nelly furtado,1
1474,1474,552971,530005,Im Not a Juvenile Delinquent,Frankie Lymon,0,Mafia II,2010,,Im NOT A JUVENILE DELINQUENT,frankie lymon the teenagers morris levy,1
1480,1480,556417,307326,Superstition,Stevie Wonder,1972,Turn Back Time: The Family,2012,The 1970s (#1.5),Superstition,stevie wonder,1
1481,1481,556417,478430,Superstition,Stevie Wonder,1972,I Am Legend,2007,,Superstition,stevie wonder,1
1488,1488,558425,388874,El Amor Espera,Charly Garcia,2002,Charly GarcÌÄÕ_a: El Concierto SubacuÌÄÕÌÄåtico,2010,,El amor espera,charly garcÌÄÕ_a,1
1499,1499,562888,526843,God Only Knows (Sax Solo),The Beach Boys,0,Luger,1981,,God only knows,brian wilson tony asher the beach boys,1
1506,1506,563319,255577,A Swingin Safari,Bert Kaempfert And His Orchestra,2003,The Match Game,1962,Kitty Carlisle & Milt Kamen (#1.85),A Swingin Safari (The Theme of The Match Game),bert kaempfert,1
1515,1515,565506,537770,Mozart: Le Nozze di Figaro: Voi che sapete_ che cosa e amor,Wolfgang Amadeus Mozart,0,Melba,1953,,Voi che sapete,wolfgang amadeus mozart,1
1554,1554,582237,90229,Goodnight Irene,Weavers,0,Folk Britannia,2006,Ballads and Blues (#1.1),Goodnight Irene,leadbelly the weavers,1
1555,1555,582669,588223,The Passenger,Iggy Pop,1977,Radiofreccia,1998,,The Passenger,iggy pop,1
1570,1570,593519,649962,' Cello Song,Nick Drake,0,The Blind Side,2009,,Cello Song,nick drake the books josÌÄÕÌâå© gonzÌÄÕÌÄålez,1
1580,1580,597799,303260,Who Feels Love?,Oasis,0,Top of the Pops,1964,(2000-04-21),Who Feels Love?,noel gallagher oasis,1
1592,1592,604017,138292,Kingdoms Of Rain (Album),Mark Lanegan,1994,Lie to Me,2009,Truth or Consequences (#2.2),Kingdoms Of Rain,mark lanegan,1
1632,1632,627968,235292,God Thank You Woman,Culture Club,1986,The A-Team,1983,Cowboy George (#4.16),God Thank You  Woman,boy george jon moss mikey craig roy hay culture club,1
1646,1646,630088,29291,Muda De Vida,Humanos,2004,Bem-Vindos a Beirais,2013,Rimas ForÌÄÕÌâå_adas (#4.171),Muda de Vida,antÌÄÕ_nio variaÌÄÕÌâå_ÌÄÕÌâåµes humanos,1
1697,1697,649531,148438,TÌÎåÇ Fora,Kelly Key,2008,MalhaÌÄÕÌâå_ÌÄÕÌâå£o,1995,,TÌÄÕÌâåÇ Fora,kelly key,1
1712,1712,654391,129860,Love's Been A Little Bit Hard On Me,Juice Newton,1982,Knight Rider,1982,The Topaz Connection (#1.16),Loves Been a Little Bit Hard on Me,juice newton,1
1714,1714,657024,713588,Siete Puertas,Pedro Guerra,1997,Vidas en vivo,2008,,Siete puertas,pedro guerra,1
1723,1723,659730,467121,How Much I've Lied,Gram Parsons,1973,Heavy,1995,,How Much Ive Lied,gram parsons david z. evan dando,1
1729,1729,661732,302385,Key To My Life,Boyzone,1995,Top of the Pops,1964,(1995-04-27),Key to My Life,boyzone,1
1749,1749,667635,612471,Moon River,Henry Mancini & His Orchestra,1961,Shielas Payoff,1977,,Moon River,henry mancini,1
1781,1781,676519,281645,Wasted,Low Vs Diamond,0,The Vampire Diaries,2009,The Departed (#3.22),Wasted,low vs diamond,1
1806,1806,685657,439346,All The Candles in the World (LP Version),Jane Siberry,1993,Final Destination,2000,,All the Candles in the World,jane siberry arrangement with warner special products,1
1854,1854,702210,149438,Love Is All Around (The Mary Tyler Moor Show Theme),Sonny Curtis,0,Mary Tyler Moore,1970,Murray Ghosts for Ted (#7.20),Love Is All Around,sonny curtis,1
1859,1859,702281,491542,Short Shorts,The Royal Teens,1986,Jersey Boys,2014,,Short Shorts,bill crandall thomas austin bob gaudio bill dalton the royal teens,1
1867,1867,708957,25371,I Don't Wanna Grow Up,Tom Waits,1992,Beavis and Butt-Head,1993,The Final Judgement of Beavis (#4.13),I Dont Want to Grow Up,tom waits,1
1877,1877,712616,619550,Cruel To Be Kind,Nick Lowe,0,Smashed,2012,,Cruel To Be Kind,nick lowe ian gomm,1
1883,1883,713790,502026,Serenade For Strings No. 13 In G Major_ KV 525 'Eine Kleine Nachtmusik,Wolfgang Amadeus Mozart,0,Kinshasa Symphony,2010,,Eina kleine Nachtmusik,wolfgang amadeus mozart,1
1915,1915,726567,339339,Helter Skelter,Dana Fuchs,2007,Across the Universe,2007,,Helter Skelter,john lennon paul mccartney dana fuchs,1
1917,1917,727067,672152,Mars (Bringer Of War) (1926 recording),Gustav Holst,0,The Magic of David Copperfield XI: The Explosive Encounter,1989,,Mars  the Bringer of War,gustav holst,1
1924,1924,730531,650177,Shake Your Moneymaker,Elmore James,1961,The Blues Brothers,1980,,SHAKE YOUR MONEYMAKER,elmore james,1
1933,1933,732729,228190,Somebody Told Me,The Killers,2004,Subterranean,2003,The Streets,Somebody Told Me,the killers,1
1946,1946,737657,361852,Waitin' Round to Die,Townes Van Zandt,1987,Be Here to Love Me: A Film About Townes Van Zandt,2004,,Waitin Round to Die,townes van zandt,1
1950,1950,738714,651806,Green Eyed Lady,Sugarloaf,1988,The Butcher,2009,,Green Eyed Lady,jerry corbetta john phillips david riordan sugarloaf,1
1962,1962,742343,637440,Blues In The Night,Cab Calloway,2005,Swooner Crooner,1944,,Blues in the Night,harold arlen cartoon parody of cab calloway,1
1993,1993,750868,669736,Parisienne Walkways,Gary Moore / Phil Lynott,1996,The Last of the High Kings,1996,,Parisienne Walkways,phil lynott gary moore thin lizzy,1
1998,1998,752135,191449,So Real,Jeff Buckley,1994,Rage,1987,Grinspoon Guest Program Rage,So Real,jeff buckley michael tighe,1
2001,2001,752537,218562,Samba Italiano,Adoniran Barbosa,2010,Som Brasil,2007,Adoniran Barbosa (#4.1),Samba Italiano,adoniran barbosa demÌÄÕÌâåÇnios da garoa,1
2010,2010,755503,498914,When I'm Cleaning Windows,George Formby,1989,Keep Your Seats  Please!,1936,,When Im Cleaning Windows,george formby harry gifford fred e. cliffe,1
2028,2028,763178,590039,Helium,Bypass Unit,1997,Rave,2000,,Helium,bypass unit,1
